dataset_id	cancer_type	platform	resolution	samples	patients	accession_or_url	raw_data_available	processed_data_available	cell_annotation_available	paired_scrna_available	tissue_region	license_or_access	data_size_estimate	mvp_priority	notes
10x_visiumhd_colon_cancer_ff_20260428	Colon cancer	Visium HD Spatial Gene Expression	Spatial barcode bins; vendor Space Ranger output	1	1	https://www.10xgenomics.com/datasets/visium-hd-cytassist-11mm-human-colon-cancer-HE	yes	yes	limited; Pan-Human Azimuth annotation caveat noted by vendor	no	Colon tumor tissue	CC BY 4.0; public 10x dataset	large; sequencing depth reported as 4.23B reads	high	Good Visium-family pilot for spatial nulls; single donor/vendor demo means weak reproducibility alone.
10x_xenium_breast_cancer_ffpe_20241024	Breast cancer	Xenium Prime 5K In Situ Gene Expression	Cell-level in situ transcripts with segmentation	1	1	https://www.10xgenomics.com/datasets/xenium-prime-ffpe-human-breast-cancer	yes	yes	marker/panel-supported; no independent full expert annotation confirmed yet	no	Breast tumor FFPE	CC BY 4.0; public 10x dataset	very large; 699110 cells and 80158637 high-quality decoded transcripts reported	high	Strong cell-level benchmark candidate for spatial-neighborhood evidence; single donor/vendor demo caveat.
10x_xenium_rcc_ffpe_20250925	Renal cell carcinoma	Xenium In Situ Gene and Protein Expression	Cell-level RNA plus protein with segmentation	1	1	https://www.10xgenomics.com/datasets/xenium-protein-ffpe-human-renal-carcinoma	yes	yes	pathology GeoJSON and marker/protein context available	no	Kidney tumor FFPE	CC BY 4.0; public 10x dataset	very large; 465534 cells and 62948437 high-quality decoded transcripts reported	medium	Useful cell-level cross-cancer candidate; protein/pathology context helps positive controls but platform differs from Visium baselines.
10x_atera_cervical_cancer_ffpe_preview_20260418	Cervical squamous cell carcinoma	Atera In Situ WTA preview	Cell-level in situ WTA preview with segmentation	1	1	https://www.10xgenomics.com/datasets/atera-wta-ffpe-human-cervical-cancer	yes	yes	yes; vendor custom cell groups described	linked same-block single-cell Flex dataset noted by vendor	Cervix tumor FFPE	CC BY 4.0; public 10x preview dataset	very large; 717576 cells and 1040030708 high-quality decoded transcripts reported	low	Do not use as MVP baseline until final format/tool compatibility is clear; keep as future stress-test candidate.
geo_gse283052_crc_12_tumors	Colorectal cancer	spatial transcriptomics; likely Visium, file-level check required	spot-level to_verify	12 tumor tissues stated in GEO title	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE283052	to_verify	to_verify	to_verify	to_verify	colorectal tumor tissues	public GEO; license/access terms to_verify	to_verify	high	NCBI GDS title: Spatial transcriptomics of 12 tumor tissues from colorectal cancer. Strong multi-sample candidate; must inspect supplemental files before download.
geo_gse300445_melanoma_antipd1	Melanoma	Spatial Transcriptomics	spot/cell resolution to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE300445	to_verify	to_verify	to_verify	to_verify	primary cutaneous melanoma; anti-PD1 context	public GEO; license/access terms to_verify	to_verify	high	NCBI GDS title: Spatial tumour-immune ecosystems shape the efficacy of anti-PD1 immunotherapy in primary cutaneous melanoma. Strong positive-control biology candidate if files are accessible.
geo_gse327056_pdac_visium	Pancreatic ductal adenocarcinoma	10x Genomics Visium	spot-level	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE327056	to_verify	to_verify	to_verify	to_verify	PDAC tissue	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title explicitly says human PDAC using 10x Genomics Visium. Need sample/file check before MVP inclusion.
geo_gse299970_pdac_visium	Pancreatic cancer	10x Genomics Visium	spot-level	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE299970	to_verify	to_verify	to_verify	to_verify	pancreatic cancer patient tissue	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: 10X Visium Spatial transcriptomics of pancreatic cancer patient tissue; title has typo in GEO summary. Need file-level verification.
geo_gse311609_archival_lung_breast	Lung cancer; breast tumor	single-cell spatial transcriptomics; platform to_verify	cell-level to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE311609	to_verify	to_verify	to_verify	to_verify	archival human lung and breast tumor FFPE	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: Single-Cell Spatial Transcriptomics of Archival Human Lung and Breast Tumor FFPE Samples. Potential cell-level cross-cancer candidate.
geo_gse292299_tumor_heterogeneity_immunotherapy	Mixed human tumors	spatial biology; likely Visium/other spatial, file-level check required	to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE292299	to_verify	to_verify	to_verify	to_verify	tumor heterogeneity and immunotherapy sensitivity	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: Conserved principles of spatial biology define tumor heterogeneity and immunotherapy sensitivity. Useful benchmark candidate after platform/sample verification.
geo_gse268014_hnscc_spatial	Head and neck squamous cell carcinoma	spatial transcriptomics plus sequencing	to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE268014	to_verify	to_verify	to_verify	to_verify	HPV+ and HPV- HNSCC	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: Spatial transcriptomic analysis of tumor heterogeneity in HPV+ and HPV- Head and Neck Squamous Cell Carcinoma. Cross-cancer extension candidate.
geo_gse294006_ccrcc_hypoxia	Clear cell renal cell carcinoma	Spatial Transcriptomics	to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE294006	to_verify	to_verify	to_verify	to_verify	metastatic clear cell renal cell carcinoma	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: Hypoxia shapes both therapeutic response and resistance in metastatic clear cell renal cell carcinoma. Candidate for hypoxia/VEGF positive-control biology.
geo_gse320042_spatial_ecotypes	Tumor, cancer type to_verify	Visium	spot-level to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE320042	to_verify	to_verify	to_verify	to_verify	tumor microenvironment spatial ecotypes	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: High-resolution and noninvasive profiling of the tumor microenvironment with spatial ecotypes [Visium]. Candidate after cancer-type/file check.
geo_gse326101_mss_crc_chemoimmunotherapy	Microsatellite-stable metastatic colorectal cancer	spatial transcriptomics; platform to_verify	to_verify	to_verify	to_verify	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE326101	to_verify	to_verify	to_verify	to_verify	MSS metastatic colorectal cancer	public GEO; license/access terms to_verify	to_verify	medium	NCBI GDS title: Spatial predictors of response to chemo-immunotherapy in microsatellite stable metastatic colorectal cancer. Useful CRC validation candidate after file check.
