dataset	sample_id	gsm	cancer	platform	matrix_rows	matrix_cols	matrix_nnz	in_tissue_n	qc_status	annotation_status	notes
GSE300445	GSM9060732_AdjIII-0019	GSM9060732	melanoma	Visium	18085	2539	20010567	2539	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE300445	GSM9060733_AdjIII-0022	GSM9060733	melanoma	Visium	18085	2783	18900716	2783	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE300445	GSM9060734_AdjIII-0113	GSM9060734	melanoma	Visium	18085	2145	10408619	2145	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE300445	GSM9060735_AdjIII-0133	GSM9060735	melanoma	Visium	18085	4115	30414762	4115	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655157_P02	GSM8655157	colorectal cancer	Visium	36601	4992	15729017	2771	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655158_P04	GSM8655158	colorectal cancer	Visium	36601	4992	13067116	2230	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655159_P05	GSM8655159	colorectal cancer	Visium	36601	4992	10953776	947	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655160_P07	GSM8655160	colorectal cancer	Visium	36601	4992	15613980	2194	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655161_P09	GSM8655161	colorectal cancer	Visium	36601	4992	11925923	2315	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655162_P10	GSM8655162	colorectal cancer	Visium	36601	4992	13467851	2465	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655163_P11	GSM8655163	colorectal cancer	Visium	36601	4992	9579880	2670	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655164_P13	GSM8655164	colorectal cancer	Visium	36601	4992	10326943	1809	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655165_P15	GSM8655165	colorectal cancer	Visium	36601	4992	12784996	2715	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655166_P17	GSM8655166	colorectal cancer	Visium	36601	4992	11329515	2224	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
GSE283052	GSM8655167_P18	GSM8655167	colorectal cancer	Visium	36601	4992	9481202	1691	pass	marker_compartment_v1	File-level QC passed; marker_compartment_v1 coarse computational spot labels available.
