dataset_id	section_id	biological_sample_id	section_role	recurrence_aggregation	annotation_provenance
GSE280634	GSE280634_batch_0	GSE280634_tumor_0	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_1	GSE280634_tumor_1	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_2	GSE280634_tumor_2	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_3	GSE280634_tumor_3	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_4	GSE280634_tumor_4	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_5	GSE280634_tumor_5	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_6	GSE280634_tumor_6	single_section	all_sections	source_harmonized
GSE280634	GSE280634_batch_7	GSE280634_tumor_7	single_section	all_sections	source_harmonized
GSE243168	GSM7780153	GSE243168_block_1	replicate_1	all_sections	supervised_cluster
GSE243168	GSM7780154	GSE243168_block_1	replicate_2	all_sections	supervised_cluster
GSE243168	GSM7780155	GSE243168_block_2	single_section	all_sections	unsupervised_cluster
