package	version
abind	1.4-5
askpass	1.2.1
assertthat	0.2.1
backports	1.5.0
base	4.3.3
base64enc	0.1-3
BH	1.87.0-1
bibtex	0.5.1
bigmemory.sri	0.1.8
Biobase	2.62.0
BiocGenerics	0.48.1
BiocManager	1.30.27
BiocNeighbors	1.20.0
BiocParallel	1.36.0
boot	1.3-32
brew	1.0-10
brio	1.1.5
broom	1.0.9
bslib	0.9.0
cachem	1.1.0
callr	3.7.6
car	3.1-3
carData	3.0-5
caret	6.0-94
CellChat	2.2.0.9001
circlize	0.4.16
class	7.3-23
cli	3.6.5
clipr	0.8.0
clock	0.7.3
clue	0.3-66
cluster	2.1.8.1
coda	0.19-4.1
codetools	0.2-20
collapse	2.1.3
colorspace	2.1-1
commonmark	2.0.0
compiler	4.3.3
ComplexHeatmap	2.18.0
conquer	1.3.3
corpcor	1.6.10
corrplot	0.95
cowplot	1.2.0
cpp11	0.5.2
crayon	1.5.3
credentials	2.0.3
crosstalk	1.2.2
curl	7.0.0
data.table	1.17.8
datasets	4.3.3
Deriv	4.2.0
desc	1.4.3
devtools	2.4.5
diagram	1.6.5
diffobj	0.3.6
digest	0.6.37
doBy	4.7.0
doParallel	1.0.17
downlit	0.4.4
dplyr	1.1.4
e1071	1.7-16
ellipsis	0.3.2
evaluate	1.0.5
fansi	1.0.6
farver	2.1.2
fastmap	1.2.0
FNN	1.1.4.1
fontawesome	0.5.3
foreach	1.5.2
formatR	1.14
Formula	1.2-5
fs	1.6.6
futile.logger	1.4.3
futile.options	1.0.1
future	1.67.0
future.apply	1.20.0
gbRd	0.4.12
generics	0.1.4
gert	2.1.5
getopt	1.20.4
GetoptLong	1.0.5
ggalluvial	0.12.5
ggnetwork	0.5.14
ggplot2	3.5.2
ggpubr	0.6.1
ggrepel	0.9.6
ggsci	3.2.0
ggsignif	0.6.4
gh	1.5.0
gitcreds	0.1.2
GlobalOptions	0.1.2
globals	0.18.0
glue	1.8.0
gower	1.0.1
graphics	4.3.3
grDevices	4.3.3
grid	4.3.3
gridBase	0.4-7
gridExtra	2.3
gtable	0.3.6
hardhat	1.4.2
here	1.0.1
hexbin	1.28.5
highr	0.11
htmltools	0.5.8.1
htmlwidgets	1.6.4
httpuv	1.6.16
httr	1.4.7
httr2	1.2.1
igraph	2.1.4
ini	0.3.1
ipred	0.9-15
IRanges	2.36.0
irlba	2.3.5.1
isoband	0.2.7
iterators	1.0.14
jquerylib	0.1.4
jsonlite	2.0.0
KernSmooth	2.23-26
knitr	1.50
labeling	0.4.3
lambda.r	1.2.4
later	1.4.4
lattice	0.22-7
lava	1.8.1
lazyeval	0.2.2
lifecycle	1.0.4
listenv	0.9.1
lme4	1.1-37
lubridate	1.9.4
magrittr	2.0.3
MASS	7.3-60.0.1
Matrix	1.6-5
MatrixModels	0.5-4
matrixStats	1.5.0
memoise	2.0.1
methods	4.3.3
mgcv	1.9-3
microbenchmark	1.5.0
mime	0.13
miniUI	0.1.2
minqa	1.2.8
ModelMetrics	1.2.2.2
modelr	0.1.11
munsell	0.5.1
network	1.19.0
nlme	3.1-168
nloptr	2.2.1
NMF	0.28
nnet	7.3-20
numDeriv	2016.8-1.1
openssl	2.3.3
optparse	1.7.5
parallel	4.3.3
parallelly	1.45.1
patchwork	1.3.2
pbapply	1.7-4
pbkrtest	0.5.5
pillar	1.11.0
pkgbuild	1.4.8
pkgconfig	2.0.3
pkgdown	2.1.3
pkgload	1.4.0
pkgmaker	0.32.10
plotly	4.11.0
plyr	1.8.9
png	0.1-8
polynom	1.4-1
praise	1.0.0
prettyunits	1.2.0
pROC	1.19.0.1
processx	3.8.6
prodlim	2025.04.28
profvis	0.4.0
progressr	0.15.1
promises	1.3.3
proxy	0.4-27
ps	1.9.1
purrr	1.1.0
quantreg	6.1
R6	2.6.1
ragg	1.5.0
rappdirs	0.3.3
rbibutils	2.3
rcmdcheck	1.4.0
RColorBrewer	1.1-3
Rcpp	1.1.0
RcppArmadillo	15.0.2-1
RcppEigen	0.3.4.0.2
RcppHNSW	0.6.0
RcppTOML	0.2.3
Rdpack	2.6.4
recipes	1.3.1
reformulas	0.4.1
registry	0.5-1
rematch2	2.1.2
remotes	2.5.0
reshape2	1.4.4
reticulate	1.43.0
rjson	0.2.23
rlang	1.1.6
rmarkdown	2.29
rngtools	1.5.2
roxygen2	7.3.3
rpart	4.1.24
rprojroot	2.1.1
RSpectra	0.16-2
rstatix	0.7.2
rstudioapi	0.17.1
RUnit	0.4.33.1
rversions	2.1.2
S4Vectors	0.40.2
sass	0.4.10
scales	1.4.0
sessioninfo	1.2.3
shape	1.4.6.1
shiny	1.11.1
sna	2.8
snow	0.4-4
sourcetools	0.1.7-1
SparseM	1.84-2
sparsevctrs	0.3.4
splines	4.3.3
SQUAREM	2021.1
statnet.common	4.12.0
stats	4.3.3
stats4	4.3.3
stringi	1.8.7
stringr	1.5.2
survival	3.8-3
svglite	2.2.1
sys	3.4.3
systemfonts	1.2.3
tcltk	4.3.3
testthat	3.2.3
textshaping	1.0.3
tibble	3.3.0
tidyr	1.3.1
tidyselect	1.2.1
timechange	0.3.0
timeDate	4041.110
tinytex	0.57
tools	4.3.3
tzdb	0.5.0
urlchecker	1.0.1
usethis	3.2.1
utf8	1.2.6
utils	4.3.3
vctrs	0.6.5
viridisLite	0.4.2
waldo	0.6.2
whisker	0.4.1
withr	3.0.2
xfun	0.53
xml2	1.4.0
xopen	1.0.1
xtable	1.8-4
yaml	2.3.10
zip	2.3.3
