method	dataset	sample_id	cancer	platform	spots_used	genes_used	lr_pairs_requested	lr_pairs_available	candidate_rows	positive_candidate_rows	mean_positive_score	max_positive_score	distance_threshold_array_units	cot_nitermax
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	2539	18085	15	15	135	135	0.0015750149798617467	0.05052515426655549	2.5	2000
commot_pilot_v1	GSE300445	GSM9060733_AdjIII-0022	melanoma	Visium	2782	18085	15	15	135	135	0.0006647662934285319	0.03546469240482289	2.5	2000
commot_pilot_v1	GSE300445	GSM9060734_AdjIII-0113	melanoma	Visium	2145	18085	15	15	238	238	0.005019898250911818	0.17098352928215993	2.5	2000
commot_pilot_v1	GSE300445	GSM9060735_AdjIII-0133	melanoma	Visium	4115	18085	15	15	179	179	0.035113049025928746	2.682711986361932	2.5	2000
commot_pilot_v1	GSE283052	GSM8655157_P02	colorectal cancer	Visium	2771	36601	15	15	119	119	0.04080281271920609	3.3198701196615352	2.5	2000
commot_pilot_v1	GSE283052	GSM8655158_P04	colorectal cancer	Visium	2230	36601	15	15	187	187	0.017362922730566187	1.4420215954502662	2.5	2000
commot_pilot_v1	GSE283052	GSM8655159_P05	colorectal cancer	Visium	947	36601	15	15	131	131	0.004525647597290629	0.15811335912927682	2.5	2000
commot_pilot_v1	GSE283052	GSM8655160_P07	colorectal cancer	Visium	2194	36601	15	15	133	133	0.0006958741509210346	0.013868616295073712	2.5	2000
commot_pilot_v1	GSE283052	GSM8655161_P09	colorectal cancer	Visium	2315	36601	15	15	128	128	0.0028732841007070224	0.28979099117089735	2.5	2000
commot_pilot_v1	GSE283052	GSM8655162_P10	colorectal cancer	Visium	2465	36601	15	15	118	118	0.002093795720730787	0.12943462808807563	2.5	2000
commot_pilot_v1	GSE283052	GSM8655163_P11	colorectal cancer	Visium	2670	36601	15	15	195	195	0.004650420734964019	0.518062547270665	2.5	2000
commot_pilot_v1	GSE283052	GSM8655164_P13	colorectal cancer	Visium	1809	36601	15	15	185	185	0.002640234523689762	0.24763330580846254	2.5	2000
commot_pilot_v1	GSE283052	GSM8655165_P15	colorectal cancer	Visium	2715	36601	15	15	126	126	0.00042547008835578287	0.020027545589160537	2.5	2000
commot_pilot_v1	GSE283052	GSM8655166_P17	colorectal cancer	Visium	2224	36601	15	15	127	127	0.000821316963754123	0.03456336877958534	2.5	2000
commot_pilot_v1	GSE283052	GSM8655167_P18	colorectal cancer	Visium	1691	36601	15	15	169	169	0.0011284046135673445	0.08478024074659943	2.5	2000
commot_pilot_v1	GSE283052	GSM8655168_P24	colorectal cancer	Visium	2735	36601	15	15	169	169	0.01365690173487534	2.060448417498371	2.5	2000
commot_pilot_v1	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	8458	18120	15	15	307	307	0.0001002324067084244	0.00568877581460403	2.5	2000
commot_pilot_v1	GSE292299	GSM8855704_NSCLC_P2	NSCLC	Visium	6907	18120	15	15	235	235	0.0005070458418495051	0.026508878920299926	2.5	2000
commot_pilot_v1	GSE292299	GSM8855705_NSCLC_P3	NSCLC	Visium	9158	18120	15	15	271	271	0.00016285368547393588	0.006934219784911072	2.5	2000
commot_pilot_v1	GSE292299	GSM8855706_NSCLC_P4	NSCLC	Visium	9516	18120	15	15	340	340	2.4283715510331845e-05	0.0008030182703035326	2.5	2000
commot_pilot_v1	GSE292299	GSM8855707_NSCLC_P5	NSCLC	Visium	5388	18120	15	15	279	279	5.877009276162209e-05	0.0011110702452400915	2.5	2000
commot_pilot_v1	GSE292299	GSM8855708_NSCLC_P6	NSCLC	Visium	10078	18120	15	15	312	312	0.00028157104039752315	0.015644990191573463	2.5	2000
commot_pilot_v1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	Visium	5705	18120	15	15	310	310	0.00039719171880068	0.01611200722950504	2.5	2000
commot_pilot_v1	GSE292299	GSM8855710_NSCLC_P8	NSCLC	Visium	5218	18120	15	15	132	132	0.00026925119666179685	0.0060426169339390864	2.5	2000
commot_pilot_v1	GSE292299	GSM8855711_NSCLC_P9	NSCLC	Visium	12242	18120	15	15	317	317	0.00013776258477771718	0.01035385709073312	2.5	2000
commot_pilot_v1	GSE292299	GSM8855712_NSCLC_P10	NSCLC	Visium	8862	18120	15	15	65	65	0.0002221521591046577	0.006062154722886431	2.5	2000
commot_pilot_v1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	Visium	13202	18120	15	15	238	238	0.00023651978405749246	0.011456039358788701	2.5	2000
commot_pilot_v1	GSE292299	GSM8855714_NSCLC_P12	NSCLC	Visium	2131	18120	15	15	207	207	0.000550779021298573	0.015625000000000007	2.5	2000
commot_pilot_v1	GSE292299	GSM8855715_NSCLC_P13	NSCLC	Visium	5247	18120	15	15	135	135	0.001574009602754974	0.03793295983957849	2.5	2000
commot_pilot_v1	GSE292299	GSM8855716_NSCLC_P14	NSCLC	Visium	1862	18120	15	15	51	51	0.0013270712731588163	0.036720675689398026	2.5	2000
commot_pilot_v1	GSE292299	GSM8855717_NSCLC_P15	NSCLC	Visium	13002	18120	15	15	265	265	0.0003722504715375733	0.05505795663448422	2.5	2000
commot_pilot_v1	GSE292299	GSM8855718_NSCLC_P16	NSCLC	Visium	5351	18120	15	15	139	139	0.00884000515001375	0.9980160150335105	2.5	2000
commot_pilot_v1	GSE292299	GSM8855719_DLBCL_P1	DLBCL	Visium	12413	18085	15	15	96	96	0.0027404928847076	0.24924466901306608	2.5	2000
commot_pilot_v1	GSE292299	GSM8855720_DLBCL_P2	DLBCL	Visium	13713	18085	15	15	119	119	3.398908030400329e-05	0.0017320654746001683	2.5	2000
