method	dataset	sample_id	cancer	platform	spots_used	genes_used	compartments_used	lr_pairs_requested	lr_pairs_available	candidate_rows	expr_prop	min_cells	n_perms
liana_cellphonedb_pilot	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	2539	18085	3	15	15	120	0.05	3	100
liana_cellphonedb_pilot	GSE300445	GSM9060733_AdjIII-0022	melanoma	Visium	2782	18085	3	15	15	123	0.05	3	100
liana_cellphonedb_pilot	GSE300445	GSM9060734_AdjIII-0113	melanoma	Visium	2145	18085	4	15	15	232	0.05	3	100
liana_cellphonedb_pilot	GSE300445	GSM9060735_AdjIII-0133	melanoma	Visium	4115	18085	4	15	15	177	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655157_P02	colorectal cancer	Visium	2771	36601	3	15	15	105	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655158_P04	colorectal cancer	Visium	2230	36601	4	15	15	191	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655159_P05	colorectal cancer	Visium	947	36601	3	15	15	123	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655160_P07	colorectal cancer	Visium	2194	36601	3	15	15	108	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655161_P09	colorectal cancer	Visium	2315	36601	4	15	15	156	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655162_P10	colorectal cancer	Visium	2465	36601	3	15	15	100	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655163_P11	colorectal cancer	Visium	2670	36601	4	15	15	200	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655164_P13	colorectal cancer	Visium	1809	36601	4	15	15	183	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655165_P15	colorectal cancer	Visium	2715	36601	3	15	15	108	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655166_P17	colorectal cancer	Visium	2224	36601	3	15	15	96	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655167_P18	colorectal cancer	Visium	1689	36601	4	15	15	156	0.05	3	100
liana_cellphonedb_pilot	GSE283052	GSM8655168_P24	colorectal cancer	Visium	2735	36601	4	15	15	181	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855703_NSCLC_P1	NSCLC	Visium	8458	18120	5	15	15	336	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855704_NSCLC_P2	NSCLC	Visium	6907	18120	5	15	15	267	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855705_NSCLC_P3	NSCLC	Visium	9158	18120	5	15	15	314	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855706_NSCLC_P4	NSCLC	Visium	9516	18120	5	15	15	301	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855707_NSCLC_P5	NSCLC	Visium	5388	18120	5	15	15	257	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855708_NSCLC_P6	NSCLC	Visium	10078	18120	5	15	15	341	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855709_NSCLC_P7	NSCLC	Visium	5705	18120	5	15	15	299	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855710_NSCLC_P8	NSCLC	Visium	5217	18120	4	15	15	126	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855711_NSCLC_P9	NSCLC	Visium	12242	18120	5	15	15	337	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855712_NSCLC_P10	NSCLC	Visium	8862	18120	5	15	15	70	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855713_NSCLC_P11	NSCLC	Visium	13202	18120	4	15	15	228	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855714_NSCLC_P12	NSCLC	Visium	2131	18120	5	15	15	246	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855715_NSCLC_P13	NSCLC	Visium	5247	18120	3	15	15	135	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855716_NSCLC_P14	NSCLC	Visium	1861	18120	4	15	15	30	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855717_NSCLC_P15	NSCLC	Visium	13002	18120	5	15	15	296	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855718_NSCLC_P16	NSCLC	Visium	5350	18120	3	15	15	111	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855719_DLBCL_P1	DLBCL	Visium	12410	18085	3	15	15	61	0.05	3	100
liana_cellphonedb_pilot	GSE292299	GSM8855720_DLBCL_P2	DLBCL	Visium	13713	18085	5	15	15	63	0.05	3	100
