pathway	union	both	stdlib_only	commot_only	stdlib	commot	overlap_fraction_of_union
CCL chemokine	444	188	82	174	270	362	0.42342342342342343
CXCL chemokine	951	422	140	389	562	811	0.4437434279705573
ECM-integrin	501	242	44	215	286	457	0.48303393213572854
EGF/ERBB	852	353	159	340	512	693	0.41431924882629106
MIF	554	297	25	232	322	529	0.5361010830324909
NOTCH	946	419	126	401	545	820	0.4429175475687104
SPP1	1024	516	72	436	588	952	0.50390625
TGFB	991	443	130	418	573	861	0.44702320887991925
VEGF	490	217	74	199	291	416	0.44285714285714284
WNT	463	204	72	187	276	391	0.4406047516198704
