dataset	sample_id	cancer	union	both	stdlib_only	commot_only	stdlib	commot	overlap_fraction_of_union
GSE283052	GSM8655157_P02	colorectal cancer	122	51	3	68	54	119	0.4180327868852459
GSE283052	GSM8655158_P04	colorectal cancer	196	87	9	100	96	187	0.44387755102040816
GSE283052	GSM8655159_P05	colorectal cancer	132	59	1	72	60	131	0.44696969696969696
GSE283052	GSM8655160_P07	colorectal cancer	134	59	1	74	60	133	0.44029850746268656
GSE283052	GSM8655161_P09	colorectal cancer	177	61	49	67	110	128	0.3446327683615819
GSE283052	GSM8655162_P10	colorectal cancer	122	52	4	66	56	118	0.4262295081967213
GSE283052	GSM8655163_P11	colorectal cancer	220	101	25	94	126	195	0.4590909090909091
GSE283052	GSM8655164_P13	colorectal cancer	221	93	36	92	129	185	0.42081447963800905
GSE283052	GSM8655165_P15	colorectal cancer	126	56	0	70	56	126	0.4444444444444444
GSE283052	GSM8655166_P17	colorectal cancer	130	57	3	70	60	127	0.43846153846153846
GSE283052	GSM8655167_P18	colorectal cancer	230	85	61	84	146	169	0.3695652173913043
GSE283052	GSM8655168_P24	colorectal cancer	202	83	33	86	116	169	0.41089108910891087
GSE292299	GSM8855703_NSCLC_P1	NSCLC	369	178	62	129	240	307	0.4823848238482385
GSE292299	GSM8855704_NSCLC_P2	NSCLC	283	131	48	104	179	235	0.4628975265017668
GSE292299	GSM8855705_NSCLC_P3	NSCLC	305	158	34	113	192	271	0.5180327868852459
GSE292299	GSM8855706_NSCLC_P4	NSCLC	371	209	31	131	240	340	0.5633423180592992
GSE292299	GSM8855707_NSCLC_P5	NSCLC	345	159	66	120	225	279	0.4608695652173913
GSE292299	GSM8855708_NSCLC_P6	NSCLC	363	185	51	127	236	312	0.509641873278237
GSE292299	GSM8855709_NSCLC_P7	NSCLC	348	187	38	123	225	310	0.5373563218390804
GSE292299	GSM8855710_NSCLC_P8	NSCLC	142	59	10	73	69	132	0.4154929577464789
GSE292299	GSM8855711_NSCLC_P9	NSCLC	366	187	49	130	236	317	0.5109289617486339
GSE292299	GSM8855712_NSCLC_P10	NSCLC	89	24	24	41	48	65	0.2696629213483146
GSE292299	GSM8855713_NSCLC_P11	NSCLC	240	133	2	105	135	238	0.5541666666666667
GSE292299	GSM8855714_NSCLC_P12	NSCLC	269	100	62	107	162	207	0.37174721189591076
GSE292299	GSM8855715_NSCLC_P13	NSCLC	135	60	0	75	60	135	0.4444444444444444
GSE292299	GSM8855716_NSCLC_P14	NSCLC	74	24	23	27	47	51	0.32432432432432434
GSE292299	GSM8855717_NSCLC_P15	NSCLC	341	148	76	117	224	265	0.4340175953079179
GSE292299	GSM8855718_NSCLC_P16	NSCLC	154	69	15	70	84	139	0.44805194805194803
GSE292299	GSM8855719_DLBCL_P1	DLBCL	119	42	23	54	65	96	0.35294117647058826
GSE292299	GSM8855720_DLBCL_P2	DLBCL	195	64	76	55	140	119	0.3282051282051282
GSE300445	GSM9060732_AdjIII-0019	melanoma	135	60	0	75	60	135	0.4444444444444444
GSE300445	GSM9060733_AdjIII-0022	melanoma	135	60	0	75	60	135	0.4444444444444444
GSE300445	GSM9060734_AdjIII-0113	melanoma	240	133	2	105	135	238	0.5541666666666667
GSE300445	GSM9060735_AdjIII-0133	melanoma	186	87	7	92	94	179	0.46774193548387094
