pathway	union	all_three	at_least_two	stdlib_commot_only	stdlib_liana_only	commot_liana_only	stdlib_only	commot_only	liana_only	stdlib	commot	liana	all_three_fraction_of_union	at_least_two_fraction_of_union
CCL chemokine	455	128	333	60	39	106	43	68	11	270	362	284	0.2813186813186813	0.7318681318681318
CXCL chemokine	963	336	768	86	58	288	82	101	12	562	811	694	0.34890965732087226	0.7975077881619937
ECM-integrin	509	231	473	11	32	199	12	16	8	286	457	470	0.4538310412573674	0.9292730844793713
EGF/ERBB	870	290	714	63	78	283	81	57	18	512	693	669	0.3333333333333333	0.8206896551724138
MIF	561	276	537	21	19	221	6	11	7	322	529	523	0.4919786096256685	0.9572192513368984
NOTCH	966	364	849	55	76	354	50	47	20	545	820	814	0.37681159420289856	0.8788819875776398
SPP1	1038	503	996	13	56	424	16	12	14	588	952	997	0.48458574181117536	0.9595375722543352
TGFB	1005	414	896	29	79	374	51	44	14	573	861	881	0.41194029850746267	0.891542288557214
VEGF	502	188	436	29	48	171	26	28	12	291	416	419	0.3745019920318725	0.8685258964143426
WNT	477	194	422	10	39	179	33	8	14	276	391	426	0.40670859538784065	0.8846960167714885
