dataset	sample_id	cancer	union	all_three	at_least_two	stdlib_commot_only	stdlib_liana_only	commot_liana_only	stdlib_only	commot_only	liana_only	stdlib	commot	liana	all_three_fraction_of_union	at_least_two_fraction_of_union
GSE283052	GSM8655157_P02	colorectal cancer	124	45	109	6	1	57	2	11	2	54	119	105	0.3629032258064516	0.8790322580645161
GSE283052	GSM8655158_P04	colorectal cancer	216	79	179	8	6	86	3	14	20	96	187	191	0.36574074074074076	0.8287037037037037
GSE283052	GSM8655159_P05	colorectal cancer	132	54	128	5	0	69	1	3	0	60	131	123	0.4090909090909091	0.9696969696969697
GSE283052	GSM8655160_P07	colorectal cancer	134	48	119	11	0	60	1	14	0	60	133	108	0.3582089552238806	0.8880597014925373
GSE283052	GSM8655161_P09	colorectal cancer	189	54	151	7	33	57	16	10	12	110	128	156	0.2857142857142857	0.798941798941799
GSE283052	GSM8655162_P10	colorectal cancer	122	43	109	9	2	55	2	11	0	56	118	100	0.3524590163934426	0.8934426229508197
GSE283052	GSM8655163_P11	colorectal cancer	225	91	205	10	20	84	5	10	5	126	195	200	0.40444444444444444	0.9111111111111111
GSE283052	GSM8655164_P13	colorectal cancer	223	81	193	12	20	80	16	12	2	129	185	183	0.3632286995515695	0.8654708520179372
GSE283052	GSM8655165_P15	colorectal cancer	126	48	116	8	0	60	0	10	0	56	126	108	0.38095238095238093	0.9206349206349206
GSE283052	GSM8655166_P17	colorectal cancer	130	40	113	17	0	56	3	14	0	60	127	96	0.3076923076923077	0.8692307692307693
GSE283052	GSM8655167_P18	colorectal cancer	235	64	172	21	23	64	38	20	5	146	169	156	0.2723404255319149	0.7319148936170212
GSE283052	GSM8655168_P24	colorectal cancer	211	73	182	10	27	72	6	14	9	116	169	181	0.3459715639810427	0.8625592417061612
GSE292299	GSM8855703_NSCLC_P1	NSCLC	373	169	341	9	40	123	22	6	4	240	307	336	0.45308310991957107	0.9142091152815014
GSE292299	GSM8855704_NSCLC_P2	NSCLC	295	123	263	8	39	93	9	11	12	179	235	267	0.41694915254237286	0.8915254237288136
GSE292299	GSM8855705_NSCLC_P3	NSCLC	314	158	305	0	34	113	0	0	9	192	271	314	0.5031847133757962	0.9713375796178344
GSE292299	GSM8855706_NSCLC_P4	NSCLC	372	181	328	28	15	104	16	27	1	240	340	301	0.48655913978494625	0.8817204301075269
GSE292299	GSM8855707_NSCLC_P5	NSCLC	347	132	282	27	29	94	37	26	2	225	279	257	0.3804034582132565	0.8126801152737753
GSE292299	GSM8855708_NSCLC_P6	NSCLC	367	180	342	5	33	124	18	3	4	236	312	341	0.4904632152588556	0.9318801089918256
GSE292299	GSM8855709_NSCLC_P7	NSCLC	353	169	312	18	22	103	16	20	5	225	310	299	0.47875354107648727	0.8838526912181303
GSE292299	GSM8855710_NSCLC_P8	NSCLC	145	50	132	9	6	67	4	6	3	69	132	126	0.3448275862068966	0.9103448275862069
GSE292299	GSM8855711_NSCLC_P9	NSCLC	367	176	347	11	34	126	15	4	1	236	317	337	0.47956403269754766	0.9455040871934605
GSE292299	GSM8855712_NSCLC_P10	NSCLC	99	20	64	4	21	19	3	22	10	48	65	70	0.20202020202020202	0.6464646464646465
GSE292299	GSM8855713_NSCLC_P11	NSCLC	240	124	237	9	2	102	0	3	0	135	238	228	0.5166666666666667	0.9875
GSE292299	GSM8855714_NSCLC_P12	NSCLC	275	90	250	10	52	98	10	9	6	162	207	246	0.32727272727272727	0.9090909090909091
GSE292299	GSM8855715_NSCLC_P13	NSCLC	135	60	135	0	0	75	0	0	0	60	135	135	0.4444444444444444	1.0
GSE292299	GSM8855716_NSCLC_P14	NSCLC	77	9	42	15	6	12	17	15	3	47	51	30	0.11688311688311688	0.5454545454545454
GSE292299	GSM8855717_NSCLC_P15	NSCLC	346	144	295	4	34	113	42	4	5	224	265	296	0.4161849710982659	0.8526011560693642
GSE292299	GSM8855718_NSCLC_P16	NSCLC	154	48	132	21	0	63	15	7	0	84	139	111	0.3116883116883117	0.8571428571428571
GSE292299	GSM8855719_DLBCL_P1	DLBCL	123	23	76	19	1	33	22	21	4	65	96	61	0.18699186991869918	0.6178861788617886
GSE292299	GSM8855720_DLBCL_P2	DLBCL	196	33	93	31	15	14	61	41	1	140	119	63	0.1683673469387755	0.4744897959183674
GSE300445	GSM9060732_AdjIII-0019	melanoma	135	52	128	8	0	68	0	7	0	60	135	120	0.3851851851851852	0.9481481481481482
GSE300445	GSM9060733_AdjIII-0022	melanoma	135	54	129	6	0	69	0	6	0	60	135	123	0.4	0.9555555555555556
GSE300445	GSM9060734_AdjIII-0113	melanoma	240	127	238	6	2	103	0	2	0	135	238	232	0.5291666666666667	0.9916666666666667
GSE300445	GSM9060735_AdjIII-0133	melanoma	191	82	177	5	7	83	0	9	5	94	179	177	0.4293193717277487	0.9267015706806283
