dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	method_support_count	method_support_label	stdlib_supported	commot_supported	liana_supported	external_method_support_count	external_method_support_fraction	stdlib_pilot_score	stdlib_adjacency_enrichment	commot_mean_score	liana_lr_means	liana_cellphone_pvals	sender_spots	receiver_spots
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	0.00039984295037043504	0.0	1.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.03078114832537913	1.6333165915486507	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	CXCL12	CXCR4	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	0.0008326921347391644	0.0	1.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	0.00041643641789026824	0.0	1.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.003226782068811997	0.2883839314868062	0.03	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.001954402437984258	0.1344004018290279	0.06	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.004188456010315668	0.1797829371706021	0.67	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.01896528860138923	0.5921284316652748	0.01	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	MIF	CD74	MIF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.5897127419241119	2.8835754105094	0.01	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	CD44	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.035254429919945325	0.9147220682250905	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.019716774154830013	0.5737579944277339	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.006667021327660193	0.2914108453458231	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.011018499615475207	0.4023512492912913	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	VEGFA	KDR	VEGF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.002426244140398408	0.39244020428770476	0.48	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	ambiguous_or_low_signal	WNT5A	FZD5	WNT	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.010238582463142337	0.3119923457726148	0.0	49	49
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	2	commot+liana	0	1	1	2	1.0	0.0	0.0	8.801422071790019e-06	1.535266042729823	0.0	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	2	commot+liana	0	1	1	2	1.0	0.0	0.0	5.1480266811349356e-08	0.1362362465437937	0.0	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	DLL4	NOTCH1	NOTCH	1	liana	0	0	1	1	0.5	0.0	0.0	0.0	0.3353106656320831	0.1		
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	EGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0064162862745341595	0.162896983054909	0.14	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0035398664163847028	0.20824695800724913	0.35	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	JAG1	NOTCH2	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0012487850905793718	0.5468734171221843	0.1	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	MIF	CD74	MIF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.021429881527095317	2.845662505316575	0.3	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	SPP1	CD44	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0003593413440157917	0.8964606060545255	0.02	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	SPP1	ITGAV	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.003271025721247077	0.7959119901637558	0.0	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	TGFB1	TGFBR1	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.001767175978030012	0.28799514130815906	0.0	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	TGFB1	TGFBR2	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0015117996250533017	0.41206257466047785	0.05	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	stroma_fibroblast	WNT5A	FZD5	WNT	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.003295886307180463	0.3226282543436572	0.07	49	9
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	CCL2	CCR2	CCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	3.935874118772039e-06	0.0	1.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	COL1A1	ITGA2	ECM-integrin	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00012301624135203866	1.6080551348646468	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	CXCL12	CXCR4	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	5.312174122050259e-09	0.0	1.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	CXCL9	CXCR3	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	3.4457274144702634e-06	0.0	1.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	DLL4	NOTCH1	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	3.951116884526059e-05	0.2380585727767487	0.14	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	EGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	9.645598895314399e-06	0.1077725258351232	0.25	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	HBEGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	8.177999791711407e-06	0.153158628133828	0.91	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	JAG1	NOTCH2	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.7235182751090736e-05	0.5438197266063605	0.05	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	MIF	CD74	MIF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0016890206635902364	2.825520129451026	0.16	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	SPP1	CD44	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0003402794462029409	0.8538843861414029	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	SPP1	ITGAV	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00026301222374707823	0.46765637179877134	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR1	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	8.957653653072592e-05	0.2333342948139362	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	TGFB1	TGFBR2	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	6.515234285668017e-05	0.3866737903484335	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	VEGFA	KDR	VEGF	1	commot	0	1	0	1	0.5	0.0	0.0	7.21189238021508e-06	0.0	1.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	ambiguous_or_low_signal	tumor_like	WNT5A	FZD5	WNT	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00024796465727772496	0.3540949790234817	0.0	49	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	2	commot+liana	0	1	1	2	1.0	0.0	0.0	9.472859776364455e-05	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	0.0022377289240837076	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00324525818794662	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.1404831838600063e-06	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	1	liana	0	0	1	1	0.5	0.0	0.0	0.0	0.0	1.0		
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0019175617981518124	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	MIF	CD74	MIF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0011800511816695324	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	SPP1	CD44	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	3.9751079088293964e-05	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00025288796175431137	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0017089868866434058	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0014994046421309296	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	VEGFA	KDR	VEGF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	9.948282863719104e-05	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	ambiguous_or_low_signal	WNT5A	FZD5	WNT	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.004683970117530174	0.0	1.0	9	49
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	3	stdlib+commot+liana	1	1	1	2	1.0	6.9449216	0.0	0.09868098366743856	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	3	stdlib+commot+liana	1	1	1	2	1.0	0.06401903	0.0	0.024691077743238726	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	3	stdlib+commot+liana	1	1	1	2	1.0	0.17605233	0.0	0.049249089239655514	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	EGF	EGFR	EGF/ERBB	3	stdlib+commot+liana	1	1	1	2	1.0	0.0080023788	0.0	0.012332332899322054	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	3	stdlib+commot+liana	1	1	1	2	1.0	0.048014273	0.0	0.024164207149248496	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	JAG1	NOTCH2	NOTCH	3	stdlib+commot+liana	1	1	1	2	1.0	0.301804	0.0	0.08561038572921129	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	3	stdlib+commot+liana	1	1	1	2	1.0	129.99521	0.0	3.3198701196615352	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	3	stdlib+commot+liana	1	1	1	2	1.0	0.74079164	0.0	0.09360048817234529	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	3	stdlib+commot+liana	1	1	1	2	1.0	0.44241723	0.0	0.07112062632841289	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	3	stdlib+commot+liana	1	1	1	2	1.0	0.19434348	0.0	0.07010962175717574	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	3	stdlib+commot+liana	1	1	1	2	1.0	0.33038392	0.0	0.12309241646518154	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	3	stdlib+commot+liana	1	1	1	2	1.0	0.12346527	0.0	0.07017102260680799	0.0	1.0	9	9
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	1	stdlib	1	0	0	0	0.0	0.0037316183	0.0	0.0	0.0	1.0		
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	3	stdlib+commot+liana	1	1	1	2	1.0	65.676482	0.0	7.393655990384425e-05	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	2	stdlib+commot	1	1	0	1	0.5	0.019671618	0.0	5.8108839844971894e-05	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	DLL4	NOTCH1	NOTCH	3	stdlib+commot+liana	1	1	1	2	1.0	0.55419139	0.0	2.3740218319345654e-05	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	EGF	EGFR	EGF/ERBB	3	stdlib+commot+liana	1	1	1	2	1.0	0.020823352	0.0	1.8009507487218355e-09	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	HBEGF	EGFR	EGF/ERBB	3	stdlib+commot+liana	1	1	1	2	1.0	0.12494011	0.0	6.951028936421397e-07	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	JAG1	NOTCH2	NOTCH	3	stdlib+commot+liana	1	1	1	2	1.0	1.3112492	0.0	6.4725831830919e-05	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	MIF	CD74	MIF	3	stdlib+commot+liana	1	1	1	2	1.0	662.35728	0.0	2.3382865088932744e-05	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	3	stdlib+commot+liana	1	1	1	2	1.0	3.4337108	0.0	5.7431305170222e-07	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	3	stdlib+commot+liana	1	1	1	2	1.0	0.91466111	0.0	6.089600613077191e-07	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	3	stdlib+commot+liana	1	1	1	2	1.0	0.60265636	0.0	0.00012868453595136237	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	3	stdlib+commot+liana	1	1	1	2	1.0	1.8208915	0.0	0.0001345538751263214	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	2	stdlib+commot	1	1	0	1	0.5	0.055283234	0.0	1.514730778246795e-07	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	stroma_fibroblast	tumor_like	WNT5A	FZD5	WNT	3	stdlib+commot+liana	1	1	1	2	1.0	0.82399661	0.0	0.00017408020424367456	0.0	1.0	9	2713
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	CCL2	CCR2	CCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	7.823082182993378e-06	0.0	1.0	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	2	commot+liana	0	1	1	2	1.0	0.0	0.0	7.918695014562813e-06	0.6877253242295469	0.48	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	CXCL12	CXCR4	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	1.2285082488528907e-07	0.0	1.0	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	CXCL9	CXCR3	CXCL chemokine	1	commot	0	1	0	1	0.5	0.0	0.0	1.0003012798952713e-07	0.0	1.0	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	DLL4	NOTCH1	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	3.471828004951083e-05	0.26994366922056623	0.04	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	EGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	4.92617100961925e-05	0.12174960660980189	0.12	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	7.717602859950756e-05	0.2134949569594028	0.12	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	JAG1	NOTCH2	NOTCH	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.9698784500023496e-05	0.5300583612799089	0.02	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	MIF	CD74	MIF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.0020006989649691683	2.84623308888185	0.05	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	SPP1	CD44	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	9.89319291356773e-05	0.7846681661262578	0.06	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	SPP1	ITGAV	SPP1	2	commot+liana	0	1	1	2	1.0	0.0	0.0	0.00010842897384548434	0.4438869661162875	0.0	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	TGFB1	TGFBR1	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.3775193906884692e-05	0.17211512513297716	0.02	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	TGFB1	TGFBR2	TGFB	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.3779235676956427e-05	0.28299599715554663	0.29	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	VEGFA	KDR	VEGF	2	commot+liana	0	1	1	2	1.0	0.0	0.0	8.505652237333705e-06	0.39770262134109546	0.06	2713	49
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	ambiguous_or_low_signal	WNT5A	FZD5	WNT	2	commot+liana	0	1	1	2	1.0	0.0	0.0	1.8691760668488014e-05	0.16205026252714552	0.92	2713	49
