dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	1.0716091	3.4111205	0.64026959	0.93428812	5866	31.71816	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	1.0716091	3.3336694	0.64026959	0.89516129	332	20.748953	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	1.702621	3.4111205	0.75	0.93428812	332	33.732793	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	1.702621	3.3336694	0.75	0.89516129	4614	47.888585	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	1.0716091	5.0766639	0.64026959	0.95619208	5866	47.205145	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	1.0716091	5.2610887	0.64026959	0.95766129	332	32.745323	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	1.702621	5.0766639	0.75	0.95619208	332	50.20346	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	1.702621	5.2610887	0.75	0.95766129	4614	75.57621	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.8146588	0.68239259	0.33361415	0.37910699	5866	4.8237478	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.8146588	2.4566532	0.33361415	0.77217742	332	11.624034	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.
