dataset	sample_id	cancer	matrix_rows	matrix_cols	matrix_nnz	candidate_n	genes_detected_in_panel	tumor_like_spots	immune_spots	stroma_fibroblast_spots	endothelial_spots	ambiguous_or_low_signal_spots
GSE300445	GSM9060732_AdjIII-0019	melanoma	18085	2539	20010567	60	27	1187	0	992	0	360
GSE300445	GSM9060733_AdjIII-0022	melanoma	18085	2783	18900716	60	27	367	0	1687	0	729
GSE300445	GSM9060734_AdjIII-0113	melanoma	18085	2145	10408619	135	27	179	55	1694	0	217
GSE300445	GSM9060735_AdjIII-0133	melanoma	18085	4115	30414762	94	27	2170	3	751	0	1191
GSE283052	GSM8655157_P02	colorectal cancer	36601	4992	15729017	54	27	4809	2	31	0	150
GSE283052	GSM8655158_P04	colorectal cancer	36601	4992	13067116	96	27	2247	31	1189	7	1518
GSE283052	GSM8655159_P05	colorectal cancer	36601	4992	10953776	60	27	2710	15	841	5	1421
GSE283052	GSM8655160_P07	colorectal cancer	36601	4992	15613980	60	27	1606	1	1540	0	1845
GSE283052	GSM8655161_P09	colorectal cancer	36601	4992	11925923	110	27	3135	65	539	4	1249
GSE283052	GSM8655162_P10	colorectal cancer	36601	4992	13467851	56	27	4845	0	29	0	118
GSE283052	GSM8655163_P11	colorectal cancer	36601	4992	9579880	126	27	3481	29	483	1	998
GSE283052	GSM8655164_P13	colorectal cancer	36601	4992	10326943	129	27	2205	67	1592	3	1125
GSE283052	GSM8655165_P15	colorectal cancer	36601	4992	12784996	56	27	3195	2	906	0	889
GSE283052	GSM8655166_P17	colorectal cancer	36601	4992	11329515	60	27	3286	4	772	0	930
GSE283052	GSM8655167_P18	colorectal cancer	36601	4992	9481202	146	27	1293	239	1772	6	1682
GSE283052	GSM8655168_P24	colorectal cancer	36601	4992	10342065	116	27	2937	13	925	1	1116
GSE292299	GSM8855703_NSCLC_P1	NSCLC	18120	8458	27542232	240	27	3475	232	2895	58	1798
GSE292299	GSM8855704_NSCLC_P2	NSCLC	18120	6907	24104220	179	27	732	56	4784	20	1315
GSE292299	GSM8855705_NSCLC_P3	NSCLC	18120	9158	25236279	192	27	2366	424	3253	12	3103
GSE292299	GSM8855706_NSCLC_P4	NSCLC	18120	9516	21881344	240	27	4184	765	2000	142	2425
GSE292299	GSM8855707_NSCLC_P5	NSCLC	18120	5388	9415589	225	27	540	191	3752	63	842
GSE292299	GSM8855708_NSCLC_P6	NSCLC	18120	10078	55903480	236	27	6043	168	1994	46	1827
GSE292299	GSM8855709_NSCLC_P7	NSCLC	18120	5705	23931393	225	27	2536	334	933	34	1868
GSE292299	GSM8855710_NSCLC_P8	NSCLC	18120	5218	9546924	69	27	251	8	4664	1	294
GSE292299	GSM8855711_NSCLC_P9	NSCLC	18120	12242	57823269	236	27	8953	379	946	58	1906
GSE292299	GSM8855712_NSCLC_P10	NSCLC	18120	8862	43704922	48	27	8688	18	18	7	131
GSE292299	GSM8855713_NSCLC_P11	NSCLC	18120	13202	100594401	135	27	8364	270	1586	0	2982
GSE292299	GSM8855714_NSCLC_P12	NSCLC	18120	2131	5492791	162	27	64	80	1594	8	385
GSE292299	GSM8855715_NSCLC_P13	NSCLC	18120	5247	45634755	60	27	420	0	4129	0	698
GSE292299	GSM8855716_NSCLC_P14	NSCLC	18120	1862	983820	47	27	5	21	1779	1	56
GSE292299	GSM8855717_NSCLC_P15	NSCLC	18120	13002	46679551	224	27	98	2192	6453	32	4227
GSE292299	GSM8855718_NSCLC_P16	NSCLC	18120	5351	10300812	84	27	108	1	5076	0	166
GSE292299	GSM8855719_DLBCL_P1	DLBCL	18085	12413	29053600	65	27	1	12094	62	2	254
GSE292299	GSM8855720_DLBCL_P2	DLBCL	18085	13713	22620443	140	27	24	12745	260	49	635
