dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	fake_draws_requested	fake_draws_used	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	fake_pair_examples
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	1.0716091	3.4111205	0.64026959	0.93428812	5866	31.71816	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	17.519425	19	0.1980198	1.8104567	WNT5A-TGFBR2;WNT5A-NOTCH2;WNT5A-TGFBR2;CXCL12-NOTCH1;CXCL12-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	1.0716091	3.3336694	0.64026959	0.89516129	332	20.748953	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	8.1633501	9	0.099009901	2.5417203	CXCL9-TGFBR2;CXCL12-NOTCH1;DLL4-KDR;CXCL9-NOTCH2;CCL2-CXCR4
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	1.702621	3.4111205	0.75	0.93428812	332	33.732793	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	36.346473	48	0.48514851	0.92808986	WNT5A-ITGA2;CXCL9-NOTCH1;HBEGF-ITGAV;VEGFA-NOTCH1;CXCL9-NOTCH1
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	1.702621	3.3336694	0.75	0.89516129	4614	47.888585	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	43.678716	42	0.42574257	1.0963826	CCL2-TGFBR2;HBEGF-CXCR4;HBEGF-TGFBR2;WNT5A-KDR;HBEGF-CXCR4
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	1.0716091	5.0766639	0.64026959	0.95619208	5866	47.205145	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	13.600201	0	0.0099009901	3.4709152	DLL4-NOTCH2;CCL2-NOTCH2;CCL2-ITGA2;DLL4-ITGA2;CCL2-ITGAV
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	1.0716091	5.2610887	0.64026959	0.95766129	332	32.745323	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	10.492771	0	0.0099009901	3.1207506	CCL2-NOTCH2;CCL2-CXCR4;CCL2-NOTCH2;CCL2-TGFBR1;CCL2-NOTCH2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	1.702621	5.0766639	0.75	0.95619208	332	50.20346	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	29.036853	16	0.16831683	1.7289566	HBEGF-ITGA2;CCL2-ITGAV;WNT5A-NOTCH1;HBEGF-ITGAV;CCL2-NOTCH2
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	1.702621	5.2610887	0.75	0.95766129	4614	75.57621	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	44.786198	8	0.089108911	1.6874888	CCL2-NOTCH2;WNT5A-TGFBR1;WNT5A-TGFBR1;HBEGF-ITGAV;CCL2-ITGAV
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.8146588	0.68239259	0.33361415	0.37910699	5866	4.8237478	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	1.365663	8	0.089108911	3.5321655	TGFB1-CXCR3;CCL2-EGFR;WNT5A-CCR2;CXCL9-KDR;CCL2-CXCR3
GSE300445	GSM9060732_AdjIII-0019	melanoma	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.8146588	2.4566532	0.33361415	0.77217742	332	11.624034	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	expression_matched_fake_lr_pair	100	100	4.675868	9	0.099009901	2.4859628	WNT5A-EGFR;WNT5A-ITGA2;CXCL9-ITGA2;CXCL9-KDR;CXCL9-NOTCH2
