dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	null_permutations	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	null_mean_adjacency_pairs	null_mean_ligand_mean_sender	null_mean_receptor_mean_receiver
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.086920358	0.32002495	0.076731129	0.23476814	15524	0.26843675	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.29262182	30	1	0.91735043	14926.133	0.095598531	0.31848617
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.086920358	0.32258065	0.076731129	0.19354839	30	0.096284966	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.14753398	26	0.87096774	0.65262907	96.733333	0.095598531	0.33655914
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.5483871	0.32002495	0.22580645	0.23476814	30	0.60265636	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.1472512	0	0.032258065	4.0927094	96.733333	0.10107527	0.31848617
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.5483871	0.32258065	0.22580645	0.19354839	2	0.19434348	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.013513516	0	0.032258065	14.381415	0.8	0.10107527	0.33655914
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.086920358	0.96693699	0.076731129	0.4499896	15524	0.8110662	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.87694916	30	1	0.92487255	14926.133	0.095598531	0.95445346
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.086920358	0.5483871	0.076731129	0.22580645	30	0.16368444	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.41931981	30	1	0.39035704	96.733333	0.095598531	0.95591398
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	0.5483871	0.96693699	0.22580645	0.4499896	30	1.8208915	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.44073951	0	0.032258065	4.1314461	96.733333	0.10107527	0.95445346
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.5483871	0.5483871	0.22580645	0.22580645	2	0.33038392	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.046199271	0	0.032258065	7.1512799	0.8	0.10107527	0.95591398
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.0041588688	0.12102308	0.0039509253	0.096693699	15524	0.0048571336	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.0056028432	29	0.96774194	0.86690514	14926.133	0.0044153324	0.1320025
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.0041588688	0.58064516	0.0039509253	0.25806452	30	0.0082924851	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.0019408434	0	0.032258065	4.2726195	96.733333	0.0044153324	0.095698925
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.061343315	0.01268455	0.046787274	0.012476606	15524	0.007508945	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.008536435	30	1	0.87963477	14926.133	0.066188397	0.013419283
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.061343315	0.12903226	0.046787274	0.096774194	30	0.027180924	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.0029889633	0	0.032258065	9.093763	96.733333	0.066188397	0.0096774194
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.4516129	0.01268455	0.12903226	0.012476606	30	0.019671618	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.0039508474	0	0.032258065	4.9790883	96.733333	0.064516129	0.013419283
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.4516129	0.12903226	0.12903226	0.096774194	2	0.06401903	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spot_compartment_label_permutation	30	0.00093664728	0	0.032258065	68.349134	0.8	0.064516129	0.0096774194
