dataset	sample_id	cancer	method	sender_compartment	receiver_compartment	ligand	receptor	pathway	ligand_mean_sender	receptor_mean_receiver	ligand_pct_sender	receptor_pct_receiver	adjacency_pairs	pilot_score	annotation_method	notes	null_model	null_permutations	null_mean_score	null_ge_observed_n	empirical_p_ge	observed_to_null_mean_ratio	null_mean_adjacency_pairs
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.086920358	0.32002495	0.076731129	0.23476814	15524	0.26843675	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.26744226	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.086920358	0.32258065	0.076731129	0.19354839	30	0.096284966	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.12826989	50	1	0.75064354	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	0.5483871	0.32002495	0.22580645	0.23476814	30	0.60265636	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.8028529	50	1	0.75064356	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	0.5483871	0.32258065	0.22580645	0.19354839	2	0.19434348	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.073578239	18	0.37254902	2.6413174	0.8
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.086920358	0.96693699	0.076731129	0.4499896	15524	0.8110662	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.80806142	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.086920358	0.5483871	0.076731129	0.22580645	30	0.16368444	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.21805882	50	1	0.75064353	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	0.5483871	0.96693699	0.22580645	0.4499896	30	1.8208915	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	2.4257739	50	1	0.75064354	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	0.5483871	0.5483871	0.22580645	0.22580645	2	0.33038392	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.12508301	18	0.37254902	2.6413174	0.8
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	0.0041588688	0.12102308	0.0039509253	0.096693699	15524	0.0048571336	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0048391392	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.0041588688	0.58064516	0.0039509253	0.25806452	30	0.0082924851	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.011047168	50	1	0.75064355	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.061343315	0.01268455	0.046787274	0.012476606	15524	0.007508945	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0074811265	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.061343315	0.12903226	0.046787274	0.096774194	30	0.027180924	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.036210161	50	1	0.75064355	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	0.4516129	0.01268455	0.12903226	0.012476606	30	0.019671618	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.026206337	50	1	0.75064357	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	0.4516129	0.12903226	0.12903226	0.096774194	2	0.06401903	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.024237537	18	0.37254902	2.6413174	0.8
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	0.044291953	0.0056144729	0.039509253	0.0056144729	15524	0.0023997745	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.002390884	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	0.19354839	0.0056144729	0.12903226	0.0056144729	30	0.0037316183	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.0049712255	50	1	0.75064354	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	VEGFA	KDR	VEGF	1.8317738	0.024953213	0.57433978	0.022457891	15524	0.44109784	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.4394637	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	VEGFA	KDR	VEGF	0.64516129	0.024953213	0.32258065	0.022457891	30	0.055283234	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.073647785	50	1	0.75064354	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	CD44	SPP1	0.5213142	3.4441672	0.24620503	0.73175296	15524	17.326882	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	17.26269	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	CD44	SPP1	0.5213142	2.3225806	0.24620503	0.38709677	30	4.1578521	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	5.5390497	50	1	0.75064358	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	CD44	SPP1	0.29032258	3.4441672	0.12903226	0.73175296	30	3.4337108	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	4.5743559	50	1	0.75064356	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.29032258	2.3225806	0.12903226	0.38709677	2	0.74079164	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.28046292	2	0.058823529	2.6413175	0.8
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.5213142	0.91744645	0.24620503	0.44291953	15524	4.6154804	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	4.5983812	0	0.019607843	1.0037185	14979
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	tumor_like	stroma_fibroblast	SPP1	ITGAV	SPP1	0.5213142	1.3870968	0.24620503	0.32258065	30	2.4831616	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	3.3080437	50	1	0.75064353	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	tumor_like	SPP1	ITGAV	SPP1	0.29032258	0.91744645	0.12903226	0.44291953	30	0.91466111	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	1.2185026	50	1	0.75064356	97.74
GSE283052	GSM8655157_P02	colorectal cancer	stdlib_marker_lr_pilot	stroma_fibroblast	stroma_fibroblast	SPP1	ITGAV	SPP1	0.29032258	1.3870968	0.12903226	0.32258065	2	0.44241723	marker_compartment	Pilot stdlib candidate; not CellChat/COMMOT/CytoSignal.	spatial_coordinate_permutation	50	0.1674987	18	0.37254902	2.6413175	0.8
