pathway	candidate_rows	cellchat_supported_rows	cellchat_support_fraction	all_null_gates_pass_rows	cellchat_and_all_null_pass_rows	cellchat_fraction_among_null_pass	all_four_supported_rows	at_least_three_methods_rows	mean_v3_score
CCL chemokine	270	20	0.07407407407407407	2	1	0.5	17	131	0.4687636962962963
CXCL chemokine	562	78	0.1387900355871886	28	20	0.7142857142857143	78	336	0.5235884768683274
ECM-integrin	286	56	0.1958041958041958	23	18	0.782608695652174	56	231	0.6263493251748252
EGF/ERBB	512	78	0.15234375	9	7	0.7777777777777778	76	292	0.48815722265625
MIF	322	100	0.3105590062111801	43	35	0.813953488372093	100	276	0.6885823664596273
NOTCH	545	97	0.1779816513761468	18	8	0.4444444444444444	94	367	0.53860616146789
SPP1	588	170	0.2891156462585034	62	41	0.6612903225806451	168	505	0.6597727142857143
TGFB	573	174	0.3036649214659686	30	26	0.8666666666666667	168	420	0.5848611937172775
VEGF	291	0	0.0	6	0	0.0	0	188	0.5670264364261168
WNT	276	42	0.15217391304347827	4	3	0.75	40	196	0.5280935072463768
