scenario	v3_tier	candidate_tier	rows
v3_reference	high	high	218
v3_reference	high	medium	0
v3_reference	high	low	0
v3_reference	medium	high	0
v3_reference	medium	medium	1976
v3_reference	medium	low	0
v3_reference	low	high	0
v3_reference	low	medium	0
v3_reference	low	low	2031
cellchat_confirmation_only	high	high	159
cellchat_confirmation_only	high	medium	59
cellchat_confirmation_only	high	low	0
cellchat_confirmation_only	medium	high	0
cellchat_confirmation_only	medium	medium	1976
cellchat_confirmation_only	medium	low	0
cellchat_confirmation_only	low	high	0
cellchat_confirmation_only	low	medium	0
cellchat_confirmation_only	low	low	2031
three_method_w10_strict	high	high	158
three_method_w10_strict	high	medium	60
three_method_w10_strict	high	low	0
three_method_w10_strict	medium	high	0
three_method_w10_strict	medium	medium	1569
three_method_w10_strict	medium	low	407
three_method_w10_strict	low	high	0
three_method_w10_strict	low	medium	13
three_method_w10_strict	low	low	2018
three_method_w10_two_of_three	high	high	215
three_method_w10_two_of_three	high	medium	3
three_method_w10_two_of_three	high	low	0
three_method_w10_two_of_three	medium	high	0
three_method_w10_two_of_three	medium	medium	1569
three_method_w10_two_of_three	medium	low	407
three_method_w10_two_of_three	low	high	0
three_method_w10_two_of_three	low	medium	13
three_method_w10_two_of_three	low	low	2018
three_method_w20_strict	high	high	159
three_method_w20_strict	high	medium	59
three_method_w20_strict	high	low	0
three_method_w20_strict	medium	high	0
three_method_w20_strict	medium	medium	1613
three_method_w20_strict	medium	low	363
three_method_w20_strict	low	high	0
three_method_w20_strict	low	medium	2
three_method_w20_strict	low	low	2029
three_method_w20_two_of_three	high	high	216
three_method_w20_two_of_three	high	medium	2
three_method_w20_two_of_three	high	low	0
three_method_w20_two_of_three	medium	high	0
three_method_w20_two_of_three	medium	medium	1613
three_method_w20_two_of_three	medium	low	363
three_method_w20_two_of_three	low	high	0
three_method_w20_two_of_three	low	medium	2
three_method_w20_two_of_three	low	low	2029
three_method_w30_strict	high	high	159
three_method_w30_strict	high	medium	59
three_method_w30_strict	high	low	0
three_method_w30_strict	medium	high	0
three_method_w30_strict	medium	medium	1637
three_method_w30_strict	medium	low	339
three_method_w30_strict	low	high	0
three_method_w30_strict	low	medium	64
three_method_w30_strict	low	low	1967
three_method_w30_two_of_three	high	high	216
three_method_w30_two_of_three	high	medium	2
three_method_w30_two_of_three	high	low	0
three_method_w30_two_of_three	medium	high	0
three_method_w30_two_of_three	medium	medium	1637
three_method_w30_two_of_three	medium	low	339
three_method_w30_two_of_three	low	high	0
three_method_w30_two_of_three	low	medium	64
three_method_w30_two_of_three	low	low	1967
