dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941622	4	1	0.0393583312055319	0.0	0	1.7746628	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941516	4	1	0.23946659255246	0.0	0	0.84656859	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.940735	15	1	0.124452036648062	0.0	0	1.184471	1.0	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940024	16	1	0.140471405554836	0.0	0	1.0911579	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939492	15	1	0.0848427911640573	0.0	0	0.90042131	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855709_NSCLC_P7	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.938391	15	1	0.0701755779465802	0.0	0	1.0911579	0.8	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655163_P11	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.936509	11	0	0.0	1.0	1	2.4518356	0.8	7	0	target_only	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855708_NSCLC_P6	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.936291	15	1	0.134423037365156	0.0	0	0.70849037	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.9348	4	1	0.0102115250831912	0.0	0	2.6486597	0.6	6	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.933845	15	1	0.109611283566028	0.0	0	0.43781111	0.6	5	0	cellchat_only	0				0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.933313	11	0	0.0	1.0	1	2.9179717	1.0	7	0	target_only	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
