dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	v3_score	dataset_recurrence_n	cellchat_supported	cellchat_probability	cellchat_p_value	target_supported	receiver_target_enrichment	receiver_target_percentile	target_genes_detected	joint_cellchat_target_support	evidence_category	public_top40_checked	public_evidence_grade	public_manual_review_category	public_source_ids	same_cancer_axis_evidence	interpretation_boundary
GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941658	16	1	0.248336689263123	0.0	1	2.5416292	1.0	6	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_34418441;PMID_41120125;PMID_39267037;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.941587	15	1	0.182334291256197	0.0	1	2.099073	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941445	4	1	0.255805416966791	0.0	1	1.3837832	1.0	6	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE300445;PMID_42315253;PMID_34418441;PMID_41120125;PMID_39267037	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.941409	15	1	0.0100103405405823	0.0	1	2.5416292	1.0	6	1	cellchat_and_target	1	broad_spp1_integrin_axis	broad_pathway	GEO_GSE292299;PMID_42092150;PMID_27329720;PMID_39267037;PMID_40457349	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.940522	4	1	0.179478073219566	0.0	1	1.3837832	1.0	6	1	cellchat_and_target	1	broad_spp1_integrin_axis	broad_pathway	GEO_GSE300445;PMID_42315253;PMID_27329720;PMID_39267037	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.940237	11	1	0.272860934043484	0.0	1	1.2733894	1.0	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939243	15	1	0.0155379656729571	0.0	1	11.615372	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.938888	4	1	0.00877238940282475	0.0	1	1.2859439	1.0	5	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE300445;PMID_42315253;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE283052	GSM8655167_P18	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.938178	11	1	0.136294740676301	0.0	1	1.2531477	0.8	7	1	cellchat_and_target	1	direct_axis_other_cancer	other_cancer_axis	GEO_GSE283052;PMID_38685050;PMID_36878933	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.938107	4	1	0.111609255521191	0.0	1	3.8449208	1.0	9	1	cellchat_and_target	1	direct_ecm_receptor_other_cancer	broad_pathway	GEO_GSE300445;PMID_42315253;PMID_36575207	0	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855718_NSCLC_P16	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.937681	15	1	0.10983307784615	0.0	1	2.3370801	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
GSE292299	GSM8855717_NSCLC_P15	NSCLC	immune	immune	MIF	CD74	MIF	0.937361	15	1	0.0748707947780404	0.0	1	2.027398	1.0	5	1	cellchat_and_target	1	direct_axis_same_cancer	same_cancer_axis	GEO_GSE292299;PMID_42092150;PMID_38685050;PMID_36878933;PMID_40457349	1	Joint computational support; public evidence is axis-level, not same-sample validation.
