candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_high	full_v3	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight	rank_full_v3	rank_no_null	rank_no_external	rank_no_recurrence	rank_no_raw_score	rank_no_annotation	rank_equal_weight	rank_shift_no_null_vs_full	rank_shift_no_external_vs_full
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|TGFB1|TGFBR1|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	False	0.766307	0.8810961166666667	0.7078841475000001	0.7250674329411765	0.7501760564705882	0.7958970200000002	0.790368384	819	325	856	964	1101	819	581	-494	37
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|TGFB1|TGFBR1|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	False	0.495807	0.6261245266666667	0.36975841	0.5833020329411764	0.4354494258823529	0.4953408088888889	0.527632294	2700	2277	3065	2062	3195	2700	2573	-423	365
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|tumor_like|TGFB1|TGFBR1|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	False	0.447731	0.6318063441666667	0.30966333812499997	0.5267419652941175	0.37487866352941174	0.4419229672222222	0.5064351739999999	3083	2228	3451	2577	3537	3083	2774	-855	368
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|TGFB1|TGFBR1|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	False	0.868173	0.8864228216666666	0.83521570125	0.8449088952941176	0.8662574917647059	0.9090806233333332	0.843964358	281	281	288	301	415	281	212	0	7
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|TGFB1|TGFBR2|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	False	0.794515	0.8863044516666667	0.74314353375	0.7582527376470587	0.7796848894117646	0.8272386966666666	0.8070763060000001	629	283	646	699	695	629	461	-346	17
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|TGFB1|TGFBR2|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	False	0.585777	0.7562736741666667	0.482221755625	0.6009145935294117	0.5376625882352941	0.5953082272222223	0.637692206	1908	1353	2209	1859	2257	1908	1629	-555	301
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|tumor_like|TGFB1|TGFBR2|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	False	0.497401	0.6370146791666668	0.37175121437499997	0.5851776135294117	0.42963784	0.49711219055555556	0.533874492	2680	2185	3045	2037	3233	2681	2511	-495	365
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|TGFB1|TGFBR2|TGFB	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	True	0.916253	0.8917495266666666	0.89531634	0.9014742023529412	0.9190627717647059	0.9625034133333334	0.8706679659999998	110	237	112	121	180	110	103	127	2
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|CXCL12|CXCR4|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	False	0.764565	0.8539891091666667	0.705705706875	0.723017135882353	0.7672601176470587	0.7939606283333333	0.775943504	833	536	871	979	958	833	693	-297	38
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|CXCL12|CXCR4|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	False	0.490871	0.6178977266666668	0.36358830999999997	0.5774948799999999	0.4354494258823529	0.4898562755555555	0.5210508540000001	2749	2337	3114	2114	3196	2749	2623	-412	365
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|tumor_like|CXCL12|CXCR4|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	CXCL12	CXCR4	CXCL chemokine	False	0.655983	0.8732836166666668	0.5699792125	0.5952745529411765	0.6258978823529411	0.6733148555555557	0.73130016	1503	384	1681	1921	1782	1503	1041	-1119	178
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|CXCL12|CXCR4|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	True	0.92003	0.8936434666666667	0.9000371250000001	0.905917294117647	0.9221689647058824	0.9666996666666667	0.87350325	97	219	99	108	164	97	90	122	2
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|CXCL9|CXCR3|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CXCL9	CXCR3	CXCL chemokine	False	0.49137	0.5768821025	0.489212086875	0.4016113758823529	0.5238122447058823	0.4904107438888889	0.534125886	2743	2663	2171	3351	2378	2743	2508	-80	-572
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|CXCL9|CXCR3|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	False	0.396753	0.5534446016666666	0.24594153624999995	0.46676850470588227	0.370219374117647	0.38528136555555553	0.44176558200000005	3375	2814	3760	3016	3567	3375	3243	-561	385
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|tumor_like|CXCL9|CXCR3|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	CXCL9	CXCR3	CXCL chemokine	False	0.308779	0.4992305875000001	0.26097409562499996	0.27503444294117646	0.27557755764705877	0.2875325294444444	0.404004932	3777	3189	3695	3871	3914	3777	3444	-588	-82
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|CXCL9|CXCR3|CXCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CXCL9	CXCR3	CXCL chemokine	False	0.816987	0.8561197916666667	0.77123430375	0.7846911094117647	0.82743008	0.8522082700000001	0.803220284	465	516	476	493	543	465	494	51	11
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|CCL2|CCR2|CCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CCL2	CCR2	CCL chemokine	False	0.523642	0.5954663825000001	0.5295529368749999	0.4395792347058823	0.5486617882352941	0.5262692772222222	0.5595543660000001	2428	2529	1912	3149	2174	2428	2242	101	-516
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|CCL2|CCR2|CCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CCL2	CCR2	CCL chemokine	False	0.460737	0.6754853216666666	0.32592092125	0.4538079258823529	0.4475829929411764	0.4563741522222222	0.534777696	3004	1913	3366	3075	3128	3004	2500	-1091	362
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|tumor_like|CCL2|CCR2|CCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	CCL2	CCR2	CCL chemokine	False	0.249253	0.378018465	0.18656665374999998	0.29323920352941174	0.20287322823529413	0.2213925811111111	0.313635894	3955	3574	3982	3815	4081	3955	3828	-381	27
GSE300445|GSM9060732_AdjIII-0019|stroma_fibroblast|stroma_fibroblast|CCL2|CCR2|CCL chemokine	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	CCL2	CCR2	CCL chemokine	False	0.793966	0.8463541666666667	0.74245794	0.7576074729411764	0.8072398258823529	0.8266292799999999	0.786826926	635	594	652	705	613	635	611	-41	17
GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|VEGFA|KDR|VEGF	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	VEGFA	KDR	VEGF	True	0.919403	0.8881983891666667	0.8992536468750001	0.9051799029411766	0.9252751576470589	0.9660032416666666	0.87046732	100	268	102	111	151	100	104	168	2
GSE300445|GSM9060732_AdjIII-0019|tumor_like|stroma_fibroblast|VEGFA|KDR|VEGF	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	VEGFA	KDR	VEGF	False	0.798013	0.8949455491666666	0.747515986875	0.7623679876470587	0.7777005411764705	0.8311253216666665	0.813145836	606	210	623	667	798	606	415	-396	17
