variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
full_v3	1	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941658	high_pilot_v3	True	True	1						
full_v3	2	GSE300445|GSM9060734_AdjIII-0113|tumor_like|tumor_like|MIF|CD74|MIF	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941622	high_pilot_v3	True	True	0						
full_v3	3	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.941587	high_pilot_v3	True	True	1						
full_v3	4	GSE300445|GSM9060735_AdjIII-0133|tumor_like|tumor_like|MIF|CD74|MIF	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941516	high_pilot_v3	True	True	0						
full_v3	5	GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941445	high_pilot_v3	True	True	1						
full_v3	6	GSE292299|GSM8855713_NSCLC_P11|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.941409	high_pilot_v3	True	True	1						
full_v3	7	GSE292299|GSM8855704_NSCLC_P2|tumor_like|tumor_like|SPP1|CD44|SPP1	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940983	high_pilot_v3	True	True	0						
full_v3	8	GSE292299|GSM8855715_NSCLC_P13|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855715_NSCLC_P13	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.940735	high_pilot_v3	True	True	0						
full_v3	9	GSE300445|GSM9060732_AdjIII-0019|tumor_like|tumor_like|SPP1|ITGAV|SPP1	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.940522	high_pilot_v3	True	True	1						
full_v3	10	GSE283052|GSM8655157_P02|tumor_like|tumor_like|MIF|CD74|MIF	GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.940237	high_pilot_v3	True	True	1						
