target_gap_reason	candidate	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	spatiallr_trust_score_pilot_v3	confidence_tier_pilot_v3	tri_method_support_count	external_method_support_count	spatial_null_p	label_null_p	fake_lr_null_p	dataset_recurrence_n	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support
low_percentile_and_low_enrichment	tumor_like->tumor_like VEGFA-KDR	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.919403	high_pilot_v3	3	2	0.019607843	0.032258065	0.04950495	4	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	1.6789024	2.8799662	0.58295906	0.97978096	0.6	0
low_receiver_enrichment	tumor_like->tumor_like COL1A1-ITGA2	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.937965	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	23.943688	23.773685	1.0071509	0.9972752	0.8	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR1	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.925323	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	13.200319	37.223005	0.35462798	1	0.4	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR1	GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	TGFB1	TGFBR1	TGFB	0.851902	high_pilot_v3	3	2	0.019607843	0.032258065	0.03960396	1	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	13.532468	35.788995	0.37811812	1	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR2	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.926424	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	13.200319	37.223005	0.35462798	1	0.4	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR2	GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	TGFB1	TGFBR2	TGFB	0.858952	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	1	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	13.532468	35.788995	0.37811812	1	0.6	0
low_receiver_percentile	tumor_like->tumor_like SPP1-CD44	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.9348	high_pilot_v3	3	2	0.019607843	0.064516129	0.0099009901	4	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	15.751397	5.9469312	2.6486597	1	0.6	0
low_receiver_percentile	tumor_like->tumor_like MIF-CD74	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941622	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	49.881564	28.10763	1.7746628	1	0.6	0
low_receiver_percentile	immune->immune JAG1-NOTCH2	GSE300445	GSM9060734_AdjIII-0113	melanoma	immune	immune	JAG1	NOTCH2	NOTCH	0.837359	high_pilot_v3	3	2	0.019607843	0.032258065	0.069306931	1	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	1.7662338	1.042447	1.6943151	1	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like COL1A1-ITGA2	GSE300445	GSM9060734_AdjIII-0113	melanoma	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.934295	high_pilot_v3	3	2	0.019607843	0.032258065	0.02970297	4	9	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	19.326505	45.037301	0.42912219	1	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR1	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.926601	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	3.9463463	10.31906	0.38243273	0.99308756	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.941516	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	12.036682	14.218201	0.84656859	0.99354839	0.6	0
low_receiver_enrichment	tumor_like->tumor_like JAG1-NOTCH2	GSE300445	GSM9060735_AdjIII-0133	melanoma	tumor_like	tumor_like	JAG1	NOTCH2	NOTCH	0.931537	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	4	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	2.1298223	2.0095483	1.0598512	0.98248848	1	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.889289	high_pilot_v3	3	2	0.019607843	0.032258065	0.04950495	11	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.35600144	0.32985237	1.0792751	0.48612279	1	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE283052	GSM8655158_P04	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.931182	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.0168373	2.6883424	1.1221923	0.95638629	0.8	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE283052	GSM8655158_P04	colorectal cancer	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.921239	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.0168373	2.6883424	1.1221923	0.95638629	0.8	0
low_receiver_enrichment	tumor_like->tumor_like MIF-CD74	GSE283052	GSM8655159_P05	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.925811	high_pilot_v3	3	2	0.019607843	0.096774194	0.0099009901	11	7	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	1.0640485	1.5727432	0.67655577	0.75498155	0.8	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932851	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	4.4430262	4.8603564	0.91413588	0.92777086	0.8	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.925926	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	4.4430262	4.8603564	0.91413588	0.92777086	0.8	0
low_receiver_enrichment	tumor_like->tumor_like MIF-CD74	GSE283052	GSM8655160_P07	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.937894	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	7	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	1.4968867	1.5532023	0.96374227	0.87795766	0.8	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast WNT5A-FZD5	GSE283052	GSM8655160_P07	colorectal cancer	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	0.893077	high_pilot_v3	3	2	0.019607843	0.032258065	0.069306931	11	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0.83330241	0.91553551	0.91018033	0.6461039	0.8	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast DLL4-NOTCH1	GSE283052	GSM8655161_P09	colorectal cancer	stroma_fibroblast	stroma_fibroblast	DLL4	NOTCH1	NOTCH	0.871523	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	12	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0.48873575	0.56132302	0.87068539	0.52690167	0.8	0
low_receiver_enrichment	stroma_fibroblast->stroma_fibroblast WNT5A-FZD5	GSE283052	GSM8655162_P10	colorectal cancer	stroma_fibroblast	stroma_fibroblast	WNT5A	FZD5	WNT	0.87064	high_pilot_v3	3	2	0.019607843	0.032258065	0.059405941	11	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0.69950739	0.58987939	1.1858482	0.86206897	1	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR2	GSE283052	GSM8655163_P11	colorectal cancer	immune	immune	TGFB1	TGFBR2	TGFB	0.852169	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	5	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.43842365	1.5130537	0.28976079	0.51724138	0.4	0
low_percentile_and_low_enrichment	immune->immune DLL4-NOTCH1	GSE283052	GSM8655164_P13	colorectal cancer	immune	immune	DLL4	NOTCH1	NOTCH	0.78756	high_pilot_v3	3	2	0.019607843	0.032258065	0.089108911	4	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0.13859275	0.23173314	0.59807048	0.34328358	0.4	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE283052	GSM8655165_P15	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.909023	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.247157	1.5448896	0.80727904	0.89233177	0.8	0
low_receiver_enrichment	tumor_like->tumor_like HBEGF-EGFR	GSE283052	GSM8655165_P15	colorectal cancer	tumor_like	tumor_like	HBEGF	EGFR	EGF/ERBB	0.871736	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	8	8	EGFR,EGR1,FOS,JUN,DUSP6,SPRY2,AREG,EREG	0.78356808	0.73198386	1.0704718	0.82128326	0.8	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE283052	GSM8655166_P17	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.930507	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	7	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	0.89044431	0.99589683	0.894113	0.84601339	0.6	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR2	GSE283052	GSM8655167_P18	colorectal cancer	immune	immune	TGFB1	TGFBR2	TGFB	0.837835	high_pilot_v3	3	2	0.019607843	0.064516129	0.03960396	5	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.25224148	5.6960717	0.044283411	0.69456067	0.4	0
low_percentile_and_low_enrichment	immune->immune CXCL12-CXCR4	GSE283052	GSM8655167_P18	colorectal cancer	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.87898	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	5	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.43693963	0.60220613	0.7255649	0.64853556	0.4	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE283052	GSM8655167_P18	colorectal cancer	tumor_like	tumor_like	SPP1	CD44	SPP1	0.92099	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.5399588	1.6685591	0.92292732	0.76798144	0.8	0
low_percentile_and_low_enrichment	immune->immune TGFB1-TGFBR1	GSE283052	GSM8655168_P24	colorectal cancer	immune	immune	TGFB1	TGFBR1	TGFB	0.858507	high_pilot_v3	3	2	0.019607843	0.032258065	0.03960396	6	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0.91208791	5.1123863	0.17840747	0.84615385	0.4	0
low_percentile_and_low_enrichment	immune->immune SPP1-CD44	GSE283052	GSM8655168_P24	colorectal cancer	immune	immune	SPP1	CD44	SPP1	0.83658	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	5	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.3205128	1.3625895	0.96912003	0.69230769	0.6	0
low_percentile_and_low_enrichment	immune->immune JAG1-NOTCH2	GSE283052	GSM8655168_P24	colorectal cancer	immune	immune	JAG1	NOTCH2	NOTCH	0.838259	high_pilot_v3	3	2	0.019607843	0.032258065	0.04950495	6	7	7	HES1,HEY1,HEY2,NOTCH1,NOTCH2,DLL4,JAG1	0.18681319	0.36481795	0.51207236	0.61538462	0.4	0
low_receiver_enrichment	immune->immune SPP1-CD44	GSE292299	GSM8855703_NSCLC_P1	NSCLC	immune	immune	SPP1	CD44	SPP1	0.93033	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	14	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	3.75	3.9706216	0.94443651	0.81896552	0.8	0
low_percentile_and_low_enrichment	tumor_like->tumor_like WNT5A-FZD5	GSE292299	GSM8855703_NSCLC_P1	NSCLC	tumor_like	tumor_like	WNT5A	FZD5	WNT	0.88739	high_pilot_v3	3	2	0.019607843	0.032258065	0.01980198	15	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0.48332991	0.72999627	0.66209914	0.75856115	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR1	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	0.912148	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	5.234192	16.984662	0.3081717	0.91939891	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like TGFB1-TGFBR2	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	0.89833	high_pilot_v3	3	2	0.019607843	0.064516129	0.0099009901	15	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	5.234192	16.984662	0.3081717	0.91939891	0.6	0
low_percentile_and_low_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.899659	high_pilot_v3	3	2	0.019607843	0.032258065	0.04950495	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.96924271	1.0462284	0.926416	0.73014214	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.940983	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	12.727687	15.34332	0.82952626	0.93032787	0.6	0
low_percentile_and_low_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.937468	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	12.727687	15.34332	0.82952626	0.93032787	0.6	0
low_receiver_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.936047	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.7576503	2.4850526	1.1096949	0.74453552	1	0
low_percentile_and_low_enrichment	tumor_like->immune MIF-CD74	GSE292299	GSM8855704_NSCLC_P2	NSCLC	tumor_like	immune	MIF	CD74	MIF	0.936154	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	11	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.3857143	2.5149905	0.94859773	0.44642857	0.6	0
low_percentile_and_low_enrichment	immune->immune CXCL12-CXCR4	GSE292299	GSM8855705_NSCLC_P3	NSCLC	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.887104	high_pilot_v3	3	2	0.019607843	0.032258065	0.079207921	14	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.61051213	0.58695083	1.0401419	0.79009434	0.6	0
low_percentile_and_low_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855705_NSCLC_P3	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.893774	high_pilot_v3	3	2	0.019607843	0.032258065	0.089108911	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.49176584	0.64107899	0.76709088	0.79711036	0.4	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.932958	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	4.9709073	4.0881675	1.2159256	0.98478445	1	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-ITGAV	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.932496	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	4.9709073	4.0881675	1.2159256	0.98478445	1	0
low_percentile_and_low_enrichment	tumor_like->tumor_like MIF-CD74	GSE292299	GSM8855705_NSCLC_P3	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.932567	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	15	7	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	3.1033812	3.1612191	0.98170394	0.94843618	0.6	0
low_percentile_and_low_enrichment	stroma_fibroblast->stroma_fibroblast CXCL12-CXCR4	GSE292299	GSM8855706_NSCLC_P4	NSCLC	stroma_fibroblast	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	0.888207	high_pilot_v3	3	2	0.019607843	0.032258065	0.01980198	17	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.33385714	0.51220254	0.65180689	0.622	0.4	0
low_percentile_and_low_enrichment	tumor_like->tumor_like VEGFA-KDR	GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	VEGFA	KDR	VEGF	0.895343	high_pilot_v3	3	2	0.019607843	0.032258065	0.079207921	15	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0.24098607	0.37946094	0.63507478	0.58508604	0.4	0
low_receiver_enrichment	tumor_like->tumor_like SPP1-CD44	GSE292299	GSM8855706_NSCLC_P4	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.92088	high_pilot_v3	3	2	0.019607843	0.064516129	0.0099009901	16	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.7779238	3.2466867	0.85561809	0.90654876	0.8	0
low_percentile_and_low_enrichment	immune->endothelial SPP1-CD44	GSE292299	GSM8855706_NSCLC_P4	NSCLC	immune	endothelial	SPP1	CD44	SPP1	0.921345	high_pilot_v3	3	2	0.019607843	0.032258065	0.0099009901	9	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0.54694836	3.078355	0.17767553	0.66901408	0.2	0
low_receiver_enrichment	tumor_like->immune CXCL12-CXCR4	GSE292299	GSM8855707_NSCLC_P5	NSCLC	tumor_like	immune	CXCL12	CXCR4	CXCL chemokine	0.763202	high_pilot_v3	3	2	0.019607843	0.064516129	0.03960396	4	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.18997756	0.17672283	1.0750029	0.54450262	1	0
low_receiver_enrichment	immune->immune CXCL12-CXCR4	GSE292299	GSM8855707_NSCLC_P5	NSCLC	immune	immune	CXCL12	CXCR4	CXCL chemokine	0.849983	high_pilot_v3	3	2	0.019607843	0.032258065	0.099009901	14	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0.18997756	0.17672283	1.0750029	0.54450262	1	0
