dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	source_method	pilot_score	pilot_score_percentile	spatial_null_p	label_null_p	fake_lr_null_p	null_support_mean	dataset_recurrence_n	dataset_recurrence_fraction	recurrence_support	annotation_quality	spatiallr_trust_score_pilot	confidence_tier_pilot	notes	method_support_count	stdlib_supported	commot_supported	method_consistency_support	commot_mean_score	spatiallr_trust_score_pilot_v2	confidence_tier_pilot_v2	notes_v2	tri_method_support_count	commot_supported_v3	liana_supported	external_method_support_count	external_method_support_fraction	liana_lr_means	liana_cellphone_pvals	spatiallr_trust_score_pilot_v3	confidence_tier_pilot_v3	notes_v3	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	target_activation_note
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	TGFB1	TGFBR1	TGFB	stdlib_marker_lr_pilot	31.71816	0.8577178	0.019607843	1	0.1980198	0.59412412	4	1	1	0.5	0.71860562	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0006296553549415713	0.76630732	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.37733123958744536	1.0	0.766307	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	7.2444337	44.338018	0.16339102	0.99915754	0.6	0	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	TGFB1	TGFBR1	TGFB	stdlib_marker_lr_pilot	20.748953	0.83783144	1	1	0.099009901	0.30033003	0	0	0	0.5	0.3677313	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.3819478823605197e-06	0.49580673	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.5013865794579958	0.06	0.495807	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	49.742944	12.410564	4.008113	1	1	1	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	TGFB1	TGFBR1	TGFB	stdlib_marker_lr_pilot	33.732793	0.86055871	1	1	0.48514851	0.17161716	0	0	0	0.5	0.30792032	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	5.427393637693182e-06	0.44773067	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.5158220692510945	0.0	0.447731	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	7.2444337	44.338018	0.16339102	0.99915754	0.6	0	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR1	TGFB	stdlib_marker_lr_pilot	47.888585	0.87902462	0.019607843	0.032258065	0.42574257	0.84079717	4	1	1	0.5	0.84620351	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0011811252440711013	0.86817256	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.6399901630028715	0.0	0.868173	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	49.742944	12.410564	4.008113	1	1	1	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	TGFB1	TGFBR2	TGFB	stdlib_marker_lr_pilot	47.205145	0.87855114	0.019607843	1	0.0099009901	0.65683039	4	1	1	0.5	0.75412542	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0007123431505321176	0.79451483	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.464297495191877	1.0	0.794515	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	7.2444337	44.338018	0.16339102	0.99915754	0.6	0	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	TGFB1	TGFBR2	TGFB	stdlib_marker_lr_pilot	32.745323	0.85842803	1	1	0.0099009901	0.330033	1	0.25	0.5	0.5	0.48670211	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	2.926728492269952e-06	0.5857774	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.6759921751916638	0.0	0.585777	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	49.742944	12.410564	4.008113	1	1	1	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	tumor_like	TGFB1	TGFBR2	TGFB	stdlib_marker_lr_pilot	50.20346	0.88139205	1	0.96774194	0.16831683	0.28798041	0	0	0	0.5	0.37026861	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	3.2321059955140387e-06	0.49740097	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.6027817908605627	0.9	0.497401	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	7.2444337	44.338018	0.16339102	0.99915754	0.6	0	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	TGFB1	TGFBR2	TGFB	stdlib_marker_lr_pilot	75.57621	0.90033144	0.019607843	0.032258065	0.089108911	0.95300839	4	1	1	0.5	0.90657048	high_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0013537322714929588	0.91625307	high_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.8146215274899844	0.0	0.916253	high_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	49.742944	12.410564	4.008113	1	1	1	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	CXCL12	CXCR4	CXCL chemokine	stdlib_marker_lr_pilot	4.8237478	0.74928977	0.019607843	1	0.089108911	0.63042775	4	1	1	0.5	0.71507183	medium_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	0.0002301115903405931	0.76456457	medium_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.15082284888481456	1.0	0.764565	medium_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	2.2035143	3.7376374	0.58954737	0.99663016	0.6	0	Pilot receiver-compartment target expression proxy; not validated pathway activation.
GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	stroma_fibroblast	CXCL12	CXCR4	CXCL chemokine	stdlib_marker_lr_pilot	11.624034	0.80492424	1	1	0.099009901	0.30033003	0	0	0	0.5	0.36114986	low_pilot	Pilot score from stdlib baseline and pilot nulls; not final method score.	2	1	1	1	2.671230318017885e-05	0.49087065	low_pilot_v2	V2 pilot score adds provisional COMMOT same-key support; still not final method score.	3	1	1	2	1.0	0.38851283343992515	1.0	0.490871	low_pilot_v3	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	3.7786578	2.5342137	1.4910573	0.99495968	1	1	Pilot receiver-compartment target expression proxy; not validated pathway activation.
