priority_rank	validation_priority	validation_query	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	spatiallr_trust_score_pilot_v3	dataset_recurrence_n	external_method_support_count	tri_method_support_count	target_genes_detected	target_genes_detected_list	receiver_target_enrichment	receiver_target_percentile	spatial_null_p	label_null_p	fake_lr_null_p	notes_v3	target_activation_note
1	tier1_recurrent_external_target_enriched	SPP1 CD44 SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941658	16	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.5416292	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
2	tier1_recurrent_external_target_enriched	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.941587	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	2.099073	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
3	tier3_target_supported_high_v3	SPP1 CD44 SPP1 melanoma spatial transcriptomics	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	CD44	SPP1	0.941445	4	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.3837832	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
4	tier1_recurrent_external_target_enriched	SPP1 ITGAV SPP1 NSCLC spatial transcriptomics	GSE292299	GSM8855713_NSCLC_P11	NSCLC	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.941409	15	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	2.5416292	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
5	tier3_target_supported_high_v3	SPP1 ITGAV SPP1 melanoma spatial transcriptomics	GSE300445	GSM9060732_AdjIII-0019	melanoma	tumor_like	tumor_like	SPP1	ITGAV	SPP1	0.940522	4	2	3	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	1.3837832	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
6	tier2_recurrent_external_target_supported	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655157_P02	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.940237	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	1.2733894	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
7	tier1_recurrent_external_target_enriched	MIF CD74 MIF NSCLC spatial transcriptomics	GSE292299	GSM8855712_NSCLC_P10	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.939243	15	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	11.615372	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
8	tier3_target_supported_high_v3	MIF CD74 MIF melanoma spatial transcriptomics	GSE300445	GSM9060733_AdjIII-0022	melanoma	tumor_like	tumor_like	MIF	CD74	MIF	0.938888	4	2	3	5	CD74,CXCR4,CXCR2,NFKBIA,IL1B	1.2859439	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
9	tier2_recurrent_external_target_supported	MIF CD74 MIF colorectal cancer spatial transcriptomics	GSE283052	GSM8655167_P18	colorectal cancer	tumor_like	tumor_like	MIF	CD74	MIF	0.938178	11	2	3	7	CD74,CXCR4,CXCR2,HLA-DRA,HLA-DRB1,NFKBIA,IL1B	1.2531477	0.8	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
10	tier3_target_supported_high_v3	COL1A1 ITGA2 ECM-integrin melanoma spatial transcriptomics	GSE300445	GSM9060732_AdjIII-0019	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.938107	4	2	3	9	COL1A1,COL1A2,COL3A1,FN1,ITGA2,ITGAV,ITGB1,ACTA2,TAGLN	3.8449208	1	0.019607843	0.032258065	0.0099009901	v3 adds LIANA CellPhoneDB-style support as a second external-method consistency feature; null evidence remains stdlib-pilot based.	Pilot receiver-compartment target expression proxy; not validated pathway activation.
