condition_id	condition_family	truth_class	selection	rows	selected_rows	selection_rate
coordinate_mix_10	coordinate_corruption	positive	commot_detected	60	60	1.0
coordinate_mix_100	coordinate_corruption	positive	commot_detected	60	60	1.0
coordinate_mix_25	coordinate_corruption	positive	commot_detected	60	60	1.0
coordinate_mix_50	coordinate_corruption	positive	commot_detected	60	60	1.0
expression_mix_10	expression_corruption	positive	commot_detected	60	60	1.0
expression_mix_25	expression_corruption	positive	commot_detected	60	60	1.0
expression_mix_50	expression_corruption	positive	commot_detected	60	60	1.0
hard_negative_ligand_only	hard_negative	negative	commot_detected	60	54	0.9
hard_negative_receptor_only	hard_negative	negative	commot_detected	60	53	0.8833333333333333
hard_negative_reporter_absent	hard_negative	negative	commot_detected	60	60	1.0
hard_negative_spatial_separated	hard_negative	negative	commot_detected	60	55	0.9166666666666666
label_mix_10	label_corruption	positive	commot_detected	60	60	1.0
label_mix_25	label_corruption	positive	commot_detected	60	60	1.0
label_mix_50	label_corruption	positive	commot_detected	60	59	0.9833333333333333
spike_high	spike_strength	positive	commot_detected	60	60	1.0
spike_low	spike_strength	positive	commot_detected	60	60	1.0
spike_medium	spike_strength	positive	commot_detected	60	60	1.0
unmodified_reference	reference	not_scored	commot_detected	60	50	0.8333333333333334
coordinate_mix_10	coordinate_corruption	positive	liana_detected	60	30	0.5
coordinate_mix_100	coordinate_corruption	positive	liana_detected	60	30	0.5
coordinate_mix_25	coordinate_corruption	positive	liana_detected	60	30	0.5
coordinate_mix_50	coordinate_corruption	positive	liana_detected	60	30	0.5
expression_mix_10	expression_corruption	positive	liana_detected	60	30	0.5
expression_mix_25	expression_corruption	positive	liana_detected	60	30	0.5
expression_mix_50	expression_corruption	positive	liana_detected	60	30	0.5
hard_negative_ligand_only	hard_negative	negative	liana_detected	60	25	0.4166666666666667
hard_negative_receptor_only	hard_negative	negative	liana_detected	60	30	0.5
hard_negative_reporter_absent	hard_negative	negative	liana_detected	60	30	0.5
hard_negative_spatial_separated	hard_negative	negative	liana_detected	60	30	0.5
label_mix_10	label_corruption	positive	liana_detected	60	30	0.5
label_mix_25	label_corruption	positive	liana_detected	60	30	0.5
label_mix_50	label_corruption	positive	liana_detected	60	30	0.5
spike_high	spike_strength	positive	liana_detected	60	30	0.5
spike_low	spike_strength	positive	liana_detected	60	30	0.5
spike_medium	spike_strength	positive	liana_detected	60	30	0.5
unmodified_reference	reference	not_scored	liana_detected	60	15	0.25
coordinate_mix_10	coordinate_corruption	positive	cellchat_detected	60	60	1.0
coordinate_mix_100	coordinate_corruption	positive	cellchat_detected	60	60	1.0
coordinate_mix_25	coordinate_corruption	positive	cellchat_detected	60	60	1.0
coordinate_mix_50	coordinate_corruption	positive	cellchat_detected	60	60	1.0
expression_mix_10	expression_corruption	positive	cellchat_detected	60	53	0.8833333333333333
expression_mix_25	expression_corruption	positive	cellchat_detected	60	45	0.75
expression_mix_50	expression_corruption	positive	cellchat_detected	60	45	0.75
hard_negative_ligand_only	hard_negative	negative	cellchat_detected	60	45	0.75
hard_negative_receptor_only	hard_negative	negative	cellchat_detected	60	45	0.75
hard_negative_reporter_absent	hard_negative	negative	cellchat_detected	60	60	1.0
hard_negative_spatial_separated	hard_negative	negative	cellchat_detected	60	60	1.0
label_mix_10	label_corruption	positive	cellchat_detected	60	54	0.9
label_mix_25	label_corruption	positive	cellchat_detected	60	45	0.75
label_mix_50	label_corruption	positive	cellchat_detected	60	45	0.75
spike_high	spike_strength	positive	cellchat_detected	60	60	1.0
spike_low	spike_strength	positive	cellchat_detected	60	55	0.9166666666666666
spike_medium	spike_strength	positive	cellchat_detected	60	60	1.0
unmodified_reference	reference	not_scored	cellchat_detected	60	45	0.75
coordinate_mix_10	coordinate_corruption	positive	trust_nonlow	60	44	0.7333333333333333
coordinate_mix_100	coordinate_corruption	positive	trust_nonlow	60	23	0.38333333333333336
coordinate_mix_25	coordinate_corruption	positive	trust_nonlow	60	38	0.6333333333333333
coordinate_mix_50	coordinate_corruption	positive	trust_nonlow	60	30	0.5
expression_mix_10	expression_corruption	positive	trust_nonlow	60	45	0.75
expression_mix_25	expression_corruption	positive	trust_nonlow	60	42	0.7
expression_mix_50	expression_corruption	positive	trust_nonlow	60	32	0.5333333333333333
hard_negative_ligand_only	hard_negative	negative	trust_nonlow	60	24	0.4
hard_negative_receptor_only	hard_negative	negative	trust_nonlow	60	25	0.4166666666666667
hard_negative_reporter_absent	hard_negative	negative	trust_nonlow	60	46	0.7666666666666667
hard_negative_spatial_separated	hard_negative	negative	trust_nonlow	60	22	0.36666666666666664
label_mix_10	label_corruption	positive	trust_nonlow	60	45	0.75
label_mix_25	label_corruption	positive	trust_nonlow	60	38	0.6333333333333333
label_mix_50	label_corruption	positive	trust_nonlow	60	20	0.3333333333333333
spike_high	spike_strength	positive	trust_nonlow	60	47	0.7833333333333333
spike_low	spike_strength	positive	trust_nonlow	60	45	0.75
spike_medium	spike_strength	positive	trust_nonlow	60	47	0.7833333333333333
unmodified_reference	reference	not_scored	trust_nonlow	60	22	0.36666666666666664
coordinate_mix_10	coordinate_corruption	positive	trust_high	60	14	0.23333333333333334
coordinate_mix_100	coordinate_corruption	positive	trust_high	60	0	0.0
coordinate_mix_25	coordinate_corruption	positive	trust_high	60	0	0.0
coordinate_mix_50	coordinate_corruption	positive	trust_high	60	0	0.0
expression_mix_10	expression_corruption	positive	trust_high	60	15	0.25
expression_mix_25	expression_corruption	positive	trust_high	60	0	0.0
expression_mix_50	expression_corruption	positive	trust_high	60	0	0.0
hard_negative_ligand_only	hard_negative	negative	trust_high	60	0	0.0
hard_negative_receptor_only	hard_negative	negative	trust_high	60	0	0.0
hard_negative_reporter_absent	hard_negative	negative	trust_high	60	14	0.23333333333333334
hard_negative_spatial_separated	hard_negative	negative	trust_high	60	10	0.16666666666666666
label_mix_10	label_corruption	positive	trust_high	60	0	0.0
label_mix_25	label_corruption	positive	trust_high	60	0	0.0
label_mix_50	label_corruption	positive	trust_high	60	0	0.0
spike_high	spike_strength	positive	trust_high	60	15	0.25
spike_low	spike_strength	positive	trust_high	60	13	0.21666666666666667
spike_medium	spike_strength	positive	trust_high	60	0	0.0
unmodified_reference	reference	not_scored	trust_high	60	0	0.0
