condition_id	selection	negative_rows	selected_rows	false_positive_rate	samples	technical_replicates
hard_negative_ligand_only	commot_detected	60	54	0.9	3	15
hard_negative_receptor_only	commot_detected	60	53	0.8833333333333333	3	15
hard_negative_reporter_absent	commot_detected	60	60	1.0	3	15
hard_negative_spatial_separated	commot_detected	60	55	0.9166666666666666	3	15
hard_negative_ligand_only	liana_detected	60	25	0.4166666666666667	3	15
hard_negative_receptor_only	liana_detected	60	30	0.5	3	15
hard_negative_reporter_absent	liana_detected	60	30	0.5	3	15
hard_negative_spatial_separated	liana_detected	60	30	0.5	3	15
hard_negative_ligand_only	cellchat_detected	60	45	0.75	3	15
hard_negative_receptor_only	cellchat_detected	60	45	0.75	3	15
hard_negative_reporter_absent	cellchat_detected	60	60	1.0	3	15
hard_negative_spatial_separated	cellchat_detected	60	60	1.0	3	15
hard_negative_ligand_only	trust_nonlow	60	24	0.4	3	15
hard_negative_receptor_only	trust_nonlow	60	25	0.4166666666666667	3	15
hard_negative_reporter_absent	trust_nonlow	60	46	0.7666666666666667	3	15
hard_negative_spatial_separated	trust_nonlow	60	22	0.36666666666666664	3	15
hard_negative_ligand_only	trust_high	60	0	0.0	3	15
hard_negative_receptor_only	trust_high	60	0	0.0	3	15
hard_negative_reporter_absent	trust_high	60	14	0.23333333333333334	3	15
hard_negative_spatial_separated	trust_high	60	10	0.16666666666666666	3	15
