sample_id	metric_universe	scorer	score_column	rows	positives	negatives	auroc	average_precision	top_k	top_k_selected	top_k_positives	precision_at_k	recall_at_k	tie_break
GSM7780153	common_three_method_primary	commot	commot_score	170	130	40	0.5788461538461539	0.8182359943065995	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780154	common_three_method_primary	commot	commot_score	170	130	40	0.5875	0.8237349961304669	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780155	common_three_method_primary	commot	commot_score	170	130	40	0.5890384615384615	0.8292693625012214	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780153	common_three_method_primary	liana	liana_score	170	130	40	0.5692307692307692	0.829129373838157	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780154	common_three_method_primary	liana	liana_score	170	130	40	0.6078846153846154	0.8559623561585625	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780155	common_three_method_primary	liana	liana_score	170	130	40	0.49788461538461537	0.7596218421724821	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780153	common_three_method_primary	cellchat	cellchat_score	170	130	40	0.48307692307692307	0.760309917990178	4	4	3	0.75	0.023076923076923078	sample_replicate_condition_axis
GSM7780154	common_three_method_primary	cellchat	cellchat_score	170	130	40	0.4707692307692308	0.7551766066827651	4	4	3	0.75	0.023076923076923078	sample_replicate_condition_axis
GSM7780155	common_three_method_primary	cellchat	cellchat_score	170	130	40	0.4626923076923077	0.7327875097928209	4	4	1	0.25	0.007692307692307693	sample_replicate_condition_axis
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	170	130	40	0.52625	0.7817599010982177	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	170	130	40	0.5854807692307692	0.8175073788260515	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	170	130	40	0.6625	0.8551828740575449	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780153	method_scoped_resource	commot	commot_score	340	260	80	0.5424759615384616	0.7639806900980004	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
GSM7780154	method_scoped_resource	commot	commot_score	340	260	80	0.5460096153846153	0.7638385002321793	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
GSM7780155	method_scoped_resource	commot	commot_score	340	260	80	0.5459375	0.7704642434056456	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
GSM7780153	method_scoped_resource	liana	liana_score	170	130	40	0.5692307692307692	0.829129373838157	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780154	method_scoped_resource	liana	liana_score	170	130	40	0.6078846153846154	0.8559623561585625	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780155	method_scoped_resource	liana	liana_score	170	130	40	0.49788461538461537	0.7596218421724821	4	4	4	1.0	0.03076923076923077	sample_replicate_condition_axis
GSM7780153	method_scoped_resource	cellchat	cellchat_score	340	260	80	0.4664423076923077	0.7346616038699415	4	4	0	0.0	0.0	sample_replicate_condition_axis
GSM7780154	method_scoped_resource	cellchat	cellchat_score	340	260	80	0.45778846153846153	0.7396403414497209	4	4	3	0.75	0.011538461538461539	sample_replicate_condition_axis
GSM7780155	method_scoped_resource	cellchat	cellchat_score	340	260	80	0.45466346153846154	0.7259217822852394	4	4	0	0.0	0.0	sample_replicate_condition_axis
GSM7780153	all_resource_primary	spatiallr_trust	spatiallr_trust_score_f5_full	340	260	80	0.49314903846153846	0.7563541628408004	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
GSM7780154	all_resource_primary	spatiallr_trust	spatiallr_trust_score_f5_full	340	260	80	0.48980769230769233	0.7525185917921999	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
GSM7780155	all_resource_primary	spatiallr_trust	spatiallr_trust_score_f5_full	340	260	80	0.5988942307692308	0.8293793134823227	4	4	4	1.0	0.015384615384615385	sample_replicate_condition_axis
