perturbation_family	expected_direction	scorer	sample_id	replicate	axis_id	steps	expected_steps	fully_monotonic	first_value	last_value
spike_strength	nondecreasing	commot	GSM7780153	1	axis_1	2	2	1	385.2953812270581	538.484379879545
spike_strength	nondecreasing	commot	GSM7780153	1	axis_2	2	2	1	4.500000000000007	18.000000000000046
spike_strength	nondecreasing	commot	GSM7780153	1	axis_3	2	2	1	6.48661201293158	22.824702036369963
spike_strength	nondecreasing	commot	GSM7780153	1	axis_4	2	2	1	4909.331593030844	5585.514862986998
spike_strength	nondecreasing	commot	GSM7780153	2	axis_1	2	2	1	382.2454847879152	525.7470274900227
spike_strength	nondecreasing	commot	GSM7780153	2	axis_2	2	2	1	2.448918012164825	9.828290055108456
spike_strength	nondecreasing	commot	GSM7780153	2	axis_3	2	2	1	8.544225523678355	35.217971563843776
spike_strength	nondecreasing	commot	GSM7780153	2	axis_4	2	2	1	4909.928537550015	5586.988939679437
spike_strength	nondecreasing	commot	GSM7780153	3	axis_1	2	2	1	376.4651603500599	509.09015056286194
spike_strength	nondecreasing	commot	GSM7780153	3	axis_2	2	2	1	6.696717925152629	34.095606245100164
spike_strength	nondecreasing	commot	GSM7780153	3	axis_3	2	2	1	7.194387010959668	21.58272508537842
spike_strength	nondecreasing	commot	GSM7780153	3	axis_4	2	2	1	4909.490666977567	5586.53795709248
spike_strength	nondecreasing	commot	GSM7780153	4	axis_1	2	2	1	353.8606157591516	402.033272238544
spike_strength	nondecreasing	commot	GSM7780153	4	axis_2	2	2	1	5.217171877940792	20.410830315666907
spike_strength	nondecreasing	commot	GSM7780153	4	axis_3	2	2	1	9.021450328437616	29.522552161657508
spike_strength	nondecreasing	commot	GSM7780153	4	axis_4	2	2	1	4910.008837521624	5587.464894434008
spike_strength	nondecreasing	commot	GSM7780153	5	axis_1	2	2	1	382.4740392165632	521.9170997671366
spike_strength	nondecreasing	commot	GSM7780153	5	axis_2	2	2	1	2.397296733320921	9.79459346664185
spike_strength	nondecreasing	commot	GSM7780153	5	axis_3	2	2	1	7.10990897481001	24.13830941671977
spike_strength	nondecreasing	commot	GSM7780153	5	axis_4	2	2	1	4910.00413919005	5587.225633030794
spike_strength	nondecreasing	commot	GSM7780154	1	axis_1	2	2	1	385.9491772572274	508.88058892662
spike_strength	nondecreasing	commot	GSM7780154	1	axis_2	2	2	1	8.122042953037935	44.63696583873266
spike_strength	nondecreasing	commot	GSM7780154	1	axis_3	2	2	1	10.15782679695325	44.94368716473464
spike_strength	nondecreasing	commot	GSM7780154	1	axis_4	2	2	1	4758.294094163635	5418.5142776981365
spike_strength	nondecreasing	commot	GSM7780154	2	axis_1	2	2	1	393.0659263758612	536.0399642439362
spike_strength	nondecreasing	commot	GSM7780154	2	axis_2	2	2	1	6.663080681404468	26.48878257106096
spike_strength	nondecreasing	commot	GSM7780154	2	axis_3	2	2	1	13.507637143800284	55.50610725765005
spike_strength	nondecreasing	commot	GSM7780154	2	axis_4	2	2	1	4757.156824172408	5415.749745476544
spike_strength	nondecreasing	commot	GSM7780154	3	axis_1	2	2	1	374.8828726932054	478.749387112044
spike_strength	nondecreasing	commot	GSM7780154	3	axis_2	2	2	1	2.454045129827016	13.51827054829323
spike_strength	nondecreasing	commot	GSM7780154	3	axis_3	2	2	1	10.246720185021545	45.040643730433466
spike_strength	nondecreasing	commot	GSM7780154	3	axis_4	2	2	1	4756.449742727979	5413.819351682778
spike_strength	nondecreasing	commot	GSM7780154	4	axis_1	2	2	1	386.8678681237399	502.2384061155856
spike_strength	nondecreasing	commot	GSM7780154	4	axis_2	2	2	1	3.3977358536672435	14.85410506869913
spike_strength	nondecreasing	commot	GSM7780154	4	axis_3	2	2	1	12.776066452342944	50.30169607675913
spike_strength	nondecreasing	commot	GSM7780154	4	axis_4	2	2	1	4757.634602150704	5417.344210745668
spike_strength	nondecreasing	commot	GSM7780154	5	axis_1	2	2	1	388.702620036148	522.0994296528056
spike_strength	nondecreasing	commot	GSM7780154	5	axis_2	2	2	1	3.956364031486625	17.999599102817964
spike_strength	nondecreasing	commot	GSM7780154	5	axis_3	2	2	1	10.729390260644708	36.12781010724349
spike_strength	nondecreasing	commot	GSM7780154	5	axis_4	2	2	1	4757.207023307999	5415.78492253916
spike_strength	nondecreasing	commot	GSM7780155	1	axis_1	2	2	1	145.81694992256837	189.8057163420455
spike_strength	nondecreasing	commot	GSM7780155	1	axis_2	2	2	1	14.035788929289993	54.629562889007126
