perturbation_family	expected_direction	scorer	series	fully_monotonic	fully_monotonic_fraction	expected_step_fraction
coordinate_corruption	nonincreasing	cellchat	60	0	0.0	0.75
coordinate_corruption	nonincreasing	commot	60	0	0.0	0.325
coordinate_corruption	nonincreasing	liana	30	0	0.0	0.008333333333333333
coordinate_corruption	nonincreasing	spatiallr_trust	60	20	0.3333333333333333	0.8208333333333333
expression_corruption	nonincreasing	cellchat	60	32	0.5333333333333333	0.8444444444444444
expression_corruption	nonincreasing	commot	60	1	0.016666666666666666	0.6444444444444445
expression_corruption	nonincreasing	liana	30	11	0.36666666666666664	0.7888888888888889
expression_corruption	nonincreasing	spatiallr_trust	60	19	0.31666666666666665	0.7611111111111111
label_corruption	nonincreasing	cellchat	60	31	0.5166666666666667	0.8388888888888889
label_corruption	nonincreasing	commot	60	13	0.21666666666666667	0.6944444444444444
label_corruption	nonincreasing	liana	30	0	0.0	0.6333333333333333
label_corruption	nonincreasing	spatiallr_trust	60	20	0.3333333333333333	0.7611111111111111
spike_strength	nondecreasing	cellchat	60	56	0.9333333333333333	0.9666666666666667
spike_strength	nondecreasing	commot	60	60	1.0	1.0
spike_strength	nondecreasing	liana	30	30	1.0	1.0
spike_strength	nondecreasing	spatiallr_trust	60	19	0.31666666666666665	0.65
