metric_universe	scorer	metric	point_estimate	ci_lower_0_025	ci_upper_0_975	bootstrap_draws	valid_draws	cluster_unit	biological_samples	seed
common_three_method_primary	commot	auroc	0.5828525641025641	0.5788461538461539	0.5890384615384615	2000	2000	sample_id	3	20260726
common_three_method_primary	commot	average_precision	0.8088636989307755	0.8010100314677941	0.8292693625012214	2000	2000	sample_id	3	20260726
common_three_method_primary	liana	auroc	0.5526709401709402	0.49788461538461537	0.6078846153846154	2000	2000	sample_id	3	20260726
common_three_method_primary	liana	average_precision	0.8130739574632719	0.7596218421724821	0.8559623561585625	2000	2000	sample_id	3	20260726
common_three_method_primary	cellchat	auroc	0.4944017094017094	0.4626923076923077	0.49444444444444446	2000	2000	sample_id	3	20260726
common_three_method_primary	cellchat	average_precision	0.7549123527592462	0.7327875097928209	0.760309917990178	2000	2000	sample_id	3	20260726
common_three_method_primary	spatiallr_trust	auroc	0.6207905982905982	0.52625	0.6655662393162393	2000	2000	sample_id	3	20260726
common_three_method_primary	spatiallr_trust	average_precision	0.8238136752990289	0.7817599010982177	0.8551828740575449	2000	2000	sample_id	3	20260726
method_scoped_resource	commot	auroc	0.5501255341880342	0.5424759615384616	0.5510443376068376	2000	2000	sample_id	3	20260726
method_scoped_resource	commot	average_precision	0.7688390432749307	0.7638385002321793	0.7704642434056456	2000	2000	sample_id	3	20260726
method_scoped_resource	liana	auroc	0.5526709401709402	0.49788461538461537	0.6078846153846154	2000	2000	sample_id	3	20260726
method_scoped_resource	liana	average_precision	0.8130739574632719	0.7596218421724821	0.8559623561585625	2000	2000	sample_id	3	20260726
method_scoped_resource	cellchat	auroc	0.4767467948717949	0.45466346153846154	0.4767467948717949	2000	2000	sample_id	3	20260726
method_scoped_resource	cellchat	average_precision	0.7432993756415114	0.7259217822852394	0.7437027114214968	2000	2000	sample_id	3	20260726
all_resource_primary	spatiallr_trust	auroc	0.5490918803418804	0.48980769230769233	0.5988942307692308	2000	2000	sample_id	3	20260726
all_resource_primary	spatiallr_trust	average_precision	0.7810899403704055	0.7525185917921999	0.8293793134823227	2000	2000	sample_id	3	20260726
