sample_id	condition_id	sender_compartment	receiver_compartment	ligand	receptor	technical_replicates_total	technical_replicates_joint_pass	resource_axis	biological_sample_joint_pass_all_replicates
GSM7780153	coordinate_mix_10	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	2	1	0
GSM7780153	coordinate_mix_10	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	coordinate_mix_10	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
GSM7780153	coordinate_mix_10	tumor/epithelial	T/NK	CD274	PDCD1	5	4	1	0
GSM7780153	coordinate_mix_100	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	0	1	0
GSM7780153	coordinate_mix_100	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	coordinate_mix_100	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
GSM7780153	coordinate_mix_100	tumor/epithelial	T/NK	CD274	PDCD1	5	0	1	0
GSM7780153	coordinate_mix_25	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	1	1	0
GSM7780153	coordinate_mix_25	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	coordinate_mix_25	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
GSM7780153	coordinate_mix_25	tumor/epithelial	T/NK	CD274	PDCD1	5	2	1	0
GSM7780153	coordinate_mix_50	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	0	1	0
GSM7780153	coordinate_mix_50	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	coordinate_mix_50	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
GSM7780153	coordinate_mix_50	tumor/epithelial	T/NK	CD274	PDCD1	5	0	1	0
GSM7780153	expression_mix_10	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	3	1	0
GSM7780153	expression_mix_10	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	expression_mix_10	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
GSM7780153	expression_mix_10	tumor/epithelial	T/NK	CD274	PDCD1	5	5	1	1
GSM7780153	expression_mix_25	CAF/fibroblast	T/NK	CXCL12	CXCR4	5	1	1	0
GSM7780153	expression_mix_25	endothelial	endothelial	PECAM1	PECAM1	5	0	1	0
GSM7780153	expression_mix_25	tumor/epithelial	CAF/fibroblast	PTN	SDC4	5	0	1	0
