sample_id	metric_universe	scorer	score_column	rows	positives	negatives	auroc	average_precision	top_k	top_k_selected	top_k_positives	precision_at_k	recall_at_k	tie_break	replicate
GSM7780153	common_three_method_primary	commot	commot_score	34	26	8	0.5769230769230769	0.8225807386748695	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780153	common_three_method_primary	commot	commot_score	34	26	8	0.5769230769230769	0.8239830887654467	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780153	common_three_method_primary	commot	commot_score	34	26	8	0.5721153846153846	0.8210625200513877	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	3
GSM7780153	common_three_method_primary	commot	commot_score	34	26	8	0.5552884615384616	0.8028678941644541	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	4
GSM7780153	common_three_method_primary	commot	commot_score	34	26	8	0.5769230769230769	0.8214616740477403	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	5
GSM7780154	common_three_method_primary	commot	commot_score	34	26	8	0.5721153846153846	0.8201843384039752	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780154	common_three_method_primary	commot	commot_score	34	26	8	0.5913461538461539	0.832121198215329	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780154	common_three_method_primary	commot	commot_score	34	26	8	0.5865384615384616	0.8238379355842402	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	3
GSM7780154	common_three_method_primary	commot	commot_score	34	26	8	0.5769230769230769	0.8210544871486178	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	4
GSM7780154	common_three_method_primary	commot	commot_score	34	26	8	0.5913461538461539	0.8294655205596513	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	5
GSM7780155	common_three_method_primary	commot	commot_score	34	26	8	0.5865384615384616	0.8287284652173328	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780155	common_three_method_primary	commot	commot_score	34	26	8	0.5673076923076923	0.8199730112695712	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780155	common_three_method_primary	commot	commot_score	34	26	8	0.5913461538461539	0.8313508428397105	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	3
GSM7780155	common_three_method_primary	commot	commot_score	34	26	8	0.5865384615384616	0.8304409340350648	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	4
GSM7780155	common_three_method_primary	commot	commot_score	34	26	8	0.5961538461538461	0.8344976959865636	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	5
GSM7780153	common_three_method_primary	liana	liana_score	34	26	8	0.5769230769230769	0.837958015323705	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780153	common_three_method_primary	liana	liana_score	34	26	8	0.5673076923076923	0.8343886680043575	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780153	common_three_method_primary	liana	liana_score	34	26	8	0.5528846153846154	0.8229359113592932	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	3
GSM7780153	common_three_method_primary	liana	liana_score	34	26	8	0.5576923076923077	0.8238828810562628	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	4
GSM7780153	common_three_method_primary	liana	liana_score	34	26	8	0.5817307692307693	0.8391414472763676	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	5
GSM7780154	common_three_method_primary	liana	liana_score	34	26	8	0.6105769230769231	0.8593670550019753	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780154	common_three_method_primary	liana	liana_score	34	26	8	0.6153846153846154	0.8622808079157283	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780154	common_three_method_primary	liana	liana_score	34	26	8	0.6009615384615384	0.8550367699024595	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	3
GSM7780154	common_three_method_primary	liana	liana_score	34	26	8	0.6009615384615384	0.8569656743313638	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	4
GSM7780154	common_three_method_primary	liana	liana_score	34	26	8	0.5961538461538461	0.8540898002054897	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	5
GSM7780155	common_three_method_primary	liana	liana_score	34	26	8	0.5240384615384616	0.811800872929711	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
GSM7780155	common_three_method_primary	liana	liana_score	34	26	8	0.5	0.754782000053208	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	2
GSM7780155	common_three_method_primary	liana	liana_score	34	26	8	0.5096153846153846	0.760274817514649	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	3
GSM7780155	common_three_method_primary	liana	liana_score	34	26	8	0.49038461538461536	0.7516893324868562	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	4
GSM7780155	common_three_method_primary	liana	liana_score	34	26	8	0.4951923076923077	0.7544865352840591	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	5
GSM7780153	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4807692307692308	0.7851408709440384	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	1
GSM7780153	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4807692307692308	0.7851408709440384	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	2
GSM7780153	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.46634615384615385	0.7683359438449937	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	3
GSM7780153	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4567307692307692	0.7482971591003265	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	4
GSM7780153	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4807692307692308	0.7851408709440384	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	5
GSM7780154	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4423076923076923	0.7475501936474787	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	1
GSM7780154	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.47115384615384615	0.7844640716247051	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	2
GSM7780154	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4423076923076923	0.750367612528246	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	3
GSM7780154	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4519230769230769	0.7640337101309952	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	4
GSM7780154	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4519230769230769	0.7668511290117626	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	5
GSM7780155	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4375	0.7621947381294845	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	1
GSM7780155	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.46634615384615385	0.7514361769452268	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	2
GSM7780155	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4423076923076923	0.7453464333554832	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	3
GSM7780155	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4423076923076923	0.7453464333554832	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	4
GSM7780155	common_three_method_primary	cellchat	cellchat_score	34	26	8	0.4375	0.7430154310244809	4	4	2	0.5	0.07692307692307693	sample_replicate_condition_axis	5
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5288461538461539	0.7869125955830201	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	1
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5096153846153846	0.7858611844549844	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	2
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5528846153846154	0.7980521270843851	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	3
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5504807692307693	0.7970824236724257	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	4
GSM7780153	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.4855769230769231	0.7509547473017326	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	5
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5793269230769231	0.8202361448174104	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	1
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6153846153846154	0.8262960777849115	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	2
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5288461538461539	0.7995216272740817	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	3
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5817307692307693	0.815008506106521	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	4
GSM7780154	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6177884615384616	0.8342947647726434	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	5
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.5985576923076923	0.8354957907589486	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	1
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6754807692307693	0.8679761512267716	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	2
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6850961538461539	0.8640384280876641	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	3
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6706730769230769	0.8566623994973871	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	4
GSM7780155	common_three_method_primary	spatiallr_trust	spatiallr_trust_score_f5_full	34	26	8	0.6899038461538461	0.8645786997817819	4	4	3	0.75	0.11538461538461539	sample_replicate_condition_axis	5
GSM7780153	method_scoped_resource	commot	commot_score	68	52	16	0.5432692307692307	0.7692882630639376	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	1
GSM7780153	method_scoped_resource	commot	commot_score	68	52	16	0.5396634615384616	0.7684989286371869	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	2
GSM7780153	method_scoped_resource	commot	commot_score	68	52	16	0.5420673076923077	0.768893832503382	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	3
GSM7780153	method_scoped_resource	commot	commot_score	68	52	16	0.5390625	0.7641712076122997	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	4
GSM7780153	method_scoped_resource	commot	commot_score	68	52	16	0.5426682692307693	0.7662640541224841	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	5
GSM7780154	method_scoped_resource	commot	commot_score	68	52	16	0.5588942307692307	0.7695675843926789	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	1
GSM7780154	method_scoped_resource	commot	commot_score	68	52	16	0.5504807692307693	0.7690809002584651	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	2
GSM7780154	method_scoped_resource	commot	commot_score	68	52	16	0.5324519230769231	0.7635343006733689	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	3
GSM7780154	method_scoped_resource	commot	commot_score	68	52	16	0.5336538461538461	0.7639611447622878	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	4
GSM7780154	method_scoped_resource	commot	commot_score	68	52	16	0.5480769230769231	0.7680180289304149	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	5
GSM7780155	method_scoped_resource	commot	commot_score	68	52	16	0.5516826923076923	0.7719264954125956	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	1
GSM7780155	method_scoped_resource	commot	commot_score	68	52	16	0.5336538461538461	0.7665922638509078	4	4	2	0.5	0.038461538461538464	sample_replicate_condition_axis	2
GSM7780155	method_scoped_resource	commot	commot_score	68	52	16	0.5510817307692307	0.7767325457167696	4	4	3	0.75	0.057692307692307696	sample_replicate_condition_axis	3
GSM7780155	method_scoped_resource	commot	commot_score	68	52	16	0.5420673076923077	0.7747491084912015	4	4	3	0.75	0.057692307692307696	sample_replicate_condition_axis	4
GSM7780155	method_scoped_resource	commot	commot_score	68	52	16	0.5480769230769231	0.7740166013443108	4	4	3	0.75	0.057692307692307696	sample_replicate_condition_axis	5
GSM7780153	method_scoped_resource	liana	liana_score	34	26	8	0.5769230769230769	0.837958015323705	4	4	4	1.0	0.15384615384615385	sample_replicate_condition_axis	1
