metric	value
rows	1140
eligible_rows	1080
original_high	81
loo_high	41
tier_changed	40
transition:high_f5_full->high_f5_full	41
transition:high_f5_full->medium_f5_full	40
transition:low_f5_full->low_f5_full	445
transition:medium_f5_full->medium_f5_full	554
transition:out_of_scope_fixed_fake->out_of_scope_fixed_fake	60
common:original_auroc	0.6207905982905982
common:loo_auroc	0.6298290598290598
common:original_average_precision	0.8238136752990289
common:loo_average_precision	0.8244848166129226
all_resource:original_auroc	0.5490918803418804
all_resource:loo_auroc	0.5436244658119658
all_resource:original_average_precision	0.7810899403704055
all_resource:loo_average_precision	0.7819623743541864
