universe	sample_id	replicate	scorer	score_column	callable_rows	top_k	selected_rows	true_positive_rows	false_positive_rows	precision_at_k	recall_at_k	tie_break	biological_unit
common_three_method_labelled	GSM7780153	1	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	1	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	1	CellChat	cellchat_score	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	1	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	2	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	2	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	2	CellChat	cellchat_score	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	2	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	3	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	3	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	3	CellChat	cellchat_score	34	4	4	2	2	0.5	0.07692307692307693	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	3	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	4	COMMOT	commot_score	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	4	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	4	CellChat	cellchat_score	34	4	4	2	2	0.5	0.07692307692307693	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	4	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	5	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	5	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	5	CellChat	cellchat_score	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780153	5	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	1	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	1	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	1	CellChat	cellchat_score	34	4	4	2	2	0.5	0.07692307692307693	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	1	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	2	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	2	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	2	CellChat	cellchat_score	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	2	SpatialLR-Trust	spatiallr_trust_score_f5_full	34	4	4	3	1	0.75	0.11538461538461539	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	3	COMMOT	commot_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	3	LIANA	liana_score	34	4	4	4	0	1.0	0.15384615384615385	condition_id,axis_id	sample_id; technical replicate retained within sample
common_three_method_labelled	GSM7780154	3	CellChat	cellchat_score	34	4	4	2	2	0.5	0.07692307692307693	condition_id,axis_id	sample_id; technical replicate retained within sample
